UniProtID,ChEMBL,identifier,primary_gene_name,gene_names,family,plot_identifier,total,nameOrg,variable,value
A7MCY6,CHEMBL4523108,TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1) (Human),TBKBP1,TBKBP1 KIAA0775 SINTBAD,,TBKBP1 ,1,TANK-binding kinase 1-binding protein 1 (TBK1-binding protein 1) (Human),Reducer Ratio,1.0
Q4G0J3,CHEMBL4523314,La-related protein 7 (La ribonucleoprotein domain family member 7) (Human),LARP7,LARP7 HDCMA18P,LARP7,LARP7 - LARP7,1,La-related protein 7 (La ribonucleoprotein domain family member 7) (Human),Reducer Ratio,1.0
Q58F21,CHEMBL1795185,Bromodomain testis-specific protein (Cancer/testis antigen 9) (Human),BRDT,BRDT,BET,BRDT - BET,1,Bromodomain testis-specific protein (Cancer/testis antigen 9) (Human),Reducer Ratio,1.0
P03905,CHEMBL4499,NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (Human),MT-ND4,MT-ND4 MTND4 NADH4 ND4,Complex I subunit 4,MT-ND4 - Complex I subunit 4,1,NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (Human),Reducer Ratio,1.0
Q8N884,CHEMBL4105728,Cyclic GMP-AMP synthase (cGAMP synthase) (Human),CGAS,CGAS C6orf150 MB21D1,Mab-21,CGAS - Mab-21,1,Cyclic GMP-AMP synthase (cGAMP synthase) (Human),Reducer Ratio,1.0
Q92844,CHEMBL4523420,TRAF family member-associated NF-kappa-B activator (TRAF-interacting protein) (Human),TANK,TANK ITRAF TRAF2,,TANK ,3,TRAF family member-associated NF-kappa-B activator (TRAF-interacting protein) (Human),Reducer Ratio,1.0
Q96S44,CHEMBL1938223,EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Human),TP53RK,TP53RK C20orf64 PRPK,BUD32,TP53RK - BUD32,1,EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Human),Reducer Ratio,1.0
Q99571,CHEMBL2104,P2X purinoceptor 4 (P2X4) (Human),P2RX4,P2RX4,P2X receptor,P2RX4 - P2X receptor,1,P2X purinoceptor 4 (P2X4) (Human),Reducer Ratio,1.0
Q99572,CHEMBL4805,P2X purinoceptor 7 (P2X7) (Human),P2RX7,P2RX7,P2X receptor,P2RX7 - P2X receptor,1,P2X purinoceptor 7 (P2X7) (Human),Reducer Ratio,1.0
O75751,CHEMBL2073673,Solute carrier family 22 member 3 (Extraneuronal monoamine transporter) (Human),SLC22A3,SLC22A3 EMTH OCT3,Organic cation transporter (TC 2.A.1.19),SLC22A3 - OCT (TC 2.A.1.19),1,Solute carrier family 22 member 3 (Extraneuronal monoamine transporter) (Human),Reducer Ratio,1.0
