Ensembl	gene_name	Gene description	2Dcells	2Dcells	2Dcells	3Dcyst_DMSO	3Dcyst_DMSO	3Dcyst_DMSO	3Dcyst_FSK	3Dcyst_FSK	3Dcyst_FSK	3Dcyst_FSK_Lei56_Low	3Dcyst_FSK_Lei56_Low	3Dcyst_FSK_Lei56_Low	3Dcyst_FSK_Lei56_High	3Dcyst_FSK_Lei56_High	3Dcyst_FSK_Lei56_High	cKOyoung_VEH_short	cKOyoung_VEH_short	cKOyoung_VEH_short	cKOyoung_Lei56_short	cKOyoung_Lei56_short	cKOyoung_Lei56_short
ENSMUSG00000001761	Smo	smoothened, frizzled class receptor [Source:MGI Symbol;Acc:MGI:108075]	160,38	152,43	150,85	157,7	154,74	152,79	184,17	180,25	185,92	176,49	182,79	183,2	168,81	177,61	172,65	56,69	55,35	50,15	56,22	44,74	50,64
ENSMUSG00000006715	Gmnn	geminin [Source:MGI Symbol;Acc:MGI:1927344]	52,75	56,43	53,12	69,54	67,32	71,51	84,12	81,37	84,12	89,32	86,47	81,38	77,15	74,34	82,24	19,11	20,76	19,33	19,59	15,84	20,54
ENSMUSG00000021670	Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase [Source:MGI Symbol;Acc:MGI:96159]	164,63	179,39	178,74	171,77	163,15	170,16	168,41	159,79	163,8	159,75	160,9	149,15	130,51	125,62	125,04	47,99	48,47	63,58	57,25	45,5	65,53
ENSMUSG00000022847	Thpo	thrombopoietin [Source:MGI Symbol;Acc:MGI:101875]	0,13	0,28	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	6,86	7	5,05	7,45	5,92	7,96
ENSMUSG00000025889	Snca	synuclein, alpha [Source:MGI Symbol;Acc:MGI:1277151]	0,44	0,52	0,18	0,13	0,13	0,21	0,13	0,13	0,23	0,19	0,13	0,32	0,2	0,13	0,13	6,35	5,12	4,81	4,62	5,69	5,2
ENSMUSG00000028645	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1 [Source:MGI Symbol;Acc:MGI:95755]	190,89	190,15	188,69	140,44	133,98	145,75	223,65	220,19	215,06	183,99	201,28	208,13	150,08	141,12	138,63	77,33	73,52	84,92	113,02	82,03	110,97
ENSMUSG00000029468	P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7 [Source:MGI Symbol;Acc:MGI:1339957]	0,23	0,36	0,29	0,48	0,61	0,73	0,43	0,4	0,33	0,38	0,46	0,63	0,2	0,54	0,43	13,01	8,43	7,6	8,56	10,27	9,3
ENSMUSG00000031618	Nr3c2	nuclear receptor subfamily 3, group C, member 2 [Source:MGI Symbol;Acc:MGI:99459]	4,43	4,16	3,37	6,09	5,67	5,6	6,88	6,28	6,31	5,85	6,21	5,44	6,86	7,08	5,98	16,25	15,44	18,36	15,88	15,23	17,91
ENSMUSG00000032511	Scn5a	sodium channel, voltage-gated, type V, alpha [Source:MGI Symbol;Acc:MGI:98251]	0,13	0,13	0,18	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	1,21	2,4	2,01	2,57	1,04	0,83
ENSMUSG00000035158	Mitf	microphthalmia-associated transcription factor [Source:MGI Symbol;Acc:MGI:104554]	5,57	5,74	5,6	6,52	6,59	6,73	3,28	4,48	3,5	4,39	4,24	4,05	4,78	4,76	5,61	33,77	39,77	38,97	40,78	40,77	46,72
ENSMUSG00000037278	Tmem97	transmembrane protein 97 [Source:MGI Symbol;Acc:MGI:1916321]	19,28	19,1	18,63	18,95	21,66	25,14	21,97	21,57	22,88	18,58	20,26	19,36	16,29	18,01	15,24	18,79	23,42	20,37	22,11	21,63	20,47
ENSMUSG00000042429	Adora1	adenosine A1 receptor [Source:MGI Symbol;Acc:MGI:99401]	74,08	80,55	77	103,57	98,24	95,82	109,19	103,47	105,46	106,5	110,71	108,34	114,27	112,49	114	33,46	33,48	38,24	48,03	47,48	40,75
ENSMUSG00000048376	F2r	coagulation factor II (thrombin) receptor [Source:MGI Symbol;Acc:MGI:101802]	189,39	190,78	193,56	130,85	127,07	137,94	121,8	123,76	118,4	125,53	132,87	120,61	128,5	127,93	127,35	114,85	73,78	95,37	108,93	73,41	92,49
ENSMUSG00000049115	Agtr1a	angiotensin II receptor, type 1a [Source:MGI Symbol;Acc:MGI:87964]	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	0,13	64,5	72,61	60,42	59,53	68,15	56,35
ENSMUSG00000050147	F2rl3	coagulation factor II (thrombin) receptor-like 3 [Source:MGI Symbol;Acc:MGI:1298207]	0,23	0,13	0,18	0,13	0,27	0,39	0,2	0,23	0,39	0,19	0,18	0,19	0,4	0,24	0,19	1,59	1,23	1,71	1,54	1,96	0,96
ENSMUSG00000052593	Adam17	a disintegrin and metallopeptidase domain 17 [Source:MGI Symbol;Acc:MGI:1096335]	166,09	170,38	163,48	174,54	162,23	146,54	184,17	178,62	180,42	179,79	179,28	179,28	171,24	164,54	175,03	53,65	51,39	50,76	54,09	41,15	43,71
ENSMUSG00000070645	Ren1	renin 1 structural [Source:MGI Symbol;Acc:MGI:97898]	0,13	0,13	0,18	0,2	0,13	0,13	0,2	0,13	0,13	0,13	0,13	0,19	0,26	0,13	0,13	154,59	88,25	111,78	125,55	89,12	87,61
