Ensembl	gene_name	Gene description	2Dcells	2Dcells	2Dcells	3Dcyst_DMSO	3Dcyst_DMSO	3Dcyst_DMSO	3Dcyst_FSK	3Dcyst_FSK	3Dcyst_FSK	3Dcyst_FSK_Lei56_Low	3Dcyst_FSK_Lei56_Low	3Dcyst_FSK_Lei56_Low	3Dcyst_FSK_Lei56_High	3Dcyst_FSK_Lei56_High	3Dcyst_FSK_Lei56_High	cKOyoung_VEH_short	cKOyoung_VEH_short	cKOyoung_VEH_short	cKOyoung_Lei56_short	cKOyoung_Lei56_short	cKOyoung_Lei56_short
ENSMUSG00000001761	Smo	smoothened, frizzled class receptor [Source:MGI Symbol;Acc:MGI:108075]	3088	1926	2696	2218	3180	1758	2452	3310	3577	2772	3330	2893	2431	2987	2830	891	851	823	712	585	787
ENSMUSG00000006715	Gmnn	geminin [Source:MGI Symbol;Acc:MGI:1927344]	1014	712	948	977	1382	822	1119	1493	1617	1402	1574	1284	1110	1249	1347	299	318	316	247	206	318
ENSMUSG00000021670	Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase [Source:MGI Symbol;Acc:MGI:96159]	3170	2267	3195	2416	3353	1958	2242	2934	3151	2509	2931	2355	1879	2112	2049	754	745	1044	725	595	1019
ENSMUSG00000022847	Thpo	thrombopoietin [Source:MGI Symbol;Acc:MGI:101875]	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	106	106	81	93	76	122
ENSMUSG00000025889	Snca	synuclein, alpha [Source:MGI Symbol;Acc:MGI:1277151]	6	5	1	0	0	1	0	0	2	1	0	3	1	0	0	98	77	77	57	73	79
ENSMUSG00000028645	Slc2a1	solute carrier family 2 (facilitated glucose transporter), member 1 [Source:MGI Symbol;Acc:MGI:95755]	3676	2403	3373	1975	2753	1677	2978	4044	4138	2890	3667	3287	2161	2373	2272	1216	1131	1395	1433	1074	1727
ENSMUSG00000029468	P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7 [Source:MGI Symbol;Acc:MGI:1339957]	2	3	3	5	10	7	4	5	4	4	6	8	1	7	5	203	128	123	107	133	143
ENSMUSG00000031618	Nr3c2	nuclear receptor subfamily 3, group C, member 2 [Source:MGI Symbol;Acc:MGI:99459]	83	51	58	84	114	63	90	113	119	90	111	84	97	117	96	254	236	300	200	198	277
ENSMUSG00000032511	Scn5a	sodium channel, voltage-gated, type V, alpha [Source:MGI Symbol;Acc:MGI:98251]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	35	31	31	12	11
ENSMUSG00000035158	Mitf	microphthalmia-associated transcription factor [Source:MGI Symbol;Acc:MGI:104554]	105	71	98	90	133	76	42	80	65	67	75	62	67	78	90	530	611	639	516	533	726
ENSMUSG00000037278	Tmem97	transmembrane protein 97 [Source:MGI Symbol;Acc:MGI:1916321]	369	240	331	265	443	288	291	394	438	290	367	304	233	301	248	294	359	333	279	282	317
ENSMUSG00000042429	Adora1	adenosine A1 receptor [Source:MGI Symbol;Acc:MGI:99401]	1425	1017	1375	1456	2018	1102	1453	1899	2028	1672	2016	1710	1645	1891	1868	525	514	627	608	621	633
ENSMUSG00000048376	F2r	coagulation factor II (thrombin) receptor [Source:MGI Symbol;Acc:MGI:101802]	3647	2411	3460	1840	2611	1587	1621	2272	2277	1971	2420	1904	1850	2151	2087	1807	1135	1567	1381	961	1439
ENSMUSG00000049115	Agtr1a	angiotensin II receptor, type 1a [Source:MGI Symbol;Acc:MGI:87964]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014	1117	992	754	892	876
ENSMUSG00000050147	F2rl3	coagulation factor II (thrombin) receptor-like 3 [Source:MGI Symbol;Acc:MGI:1298207]	2	0	1	0	3	3	1	2	5	1	1	1	4	2	1	23	17	26	18	24	13
ENSMUSG00000052593	Adam17	a disintegrin and metallopeptidase domain 17 [Source:MGI Symbol;Acc:MGI:1096335]	3198	2153	2922	2455	3334	1686	2452	3280	3471	2824	3266	2831	2466	2767	2869	843	790	833	685	538	679
ENSMUSG00000070645	Ren1	renin 1 structural [Source:MGI Symbol;Acc:MGI:97898]	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	2433	1358	1837	1592	1167	1363
