target_chembl_id,smiles,original_smiles,pchembl_value,assay_chembl_id,assay_description,activity_id,assay_type,standard_type,confidence_score,standard_relation,target_organism,molecule_chembl_id,document_chembl_id,assay_tissue,assay_cell_type,relationship_description,variant_sequence,indication_class,max_phase,oral,prodrug,withdrawn_flag,might_rancemic,pchembl_value_mean,pchembl_value_std,pchembl_value_median,pchembl_value_mad,pchembl_value_counts,QSPRID,pchembl_value_median_original,Split_IsTrain
CHEMBL226,Clc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,Clc1cccc2[nH]c(-c3cnc4ccccc4n3)nc12,6.460000038146973,CHEMBL860279,Displacement of [3H]DPCPX from human adenosine A1 receptor expressed in CHO cells,1653084,B,Ki,9,=,Homo sapiens,CHEMBL426297,CHEMBL1141186,,CHO,Direct protein target assigned,,,,False,-1,False,False,,,6.460000038146973,,,ADORA1_Ki_0495,6.460000038146973,False
CHEMBL226,Cc1[nH]c2nc(-c3ccccc3)nc(NC3CCC(O)CC3)c2c1C,Cc1[nH]c2nc(-c3ccccc3)nc(N[C@H]3CC[C@H](O)CC3)c2c1C,7.599999904632568,CHEMBL642159,Inhibitory activity against binding of the [3H]DPCPX to human A1 receptor (hA1) radioligands using competition binding assay,852677,B,Ki,9,=,Homo sapiens,CHEMBL78595,CHEMBL1131846,,,Direct protein target assigned,,,,False,-1,False,False,,,7.599999904632568,,,ADORA1_Ki_0256,7.599999904632568,False
CHEMBL226,Nc1nc(NCCc2ccccc2)nc2cn(-c3ccccc3)nc12,Nc1nc(NCCc2ccccc2)nc2cn(-c3ccccc3)nc12,7.960000038146973,CHEMBL5126855,Displacement of [3H]DPCPX from human adenosine A1 receptor expressed in CHO cells incubated for 120 mins and measured by by scintillation counting assay,24772463,B,Ki,9,=,Homo sapiens,CHEMBL5176599,CHEMBL5126505,,CHO,Direct protein target assigned,,,,False,-1,False,False,,,7.960000038146973,,,ADORA1_Ki_3818,7.960000038146973,False
CHEMBL226,Nc1nc(C(=O)NCCCO)cn2c1nc1ccccc12,Nc1nc(C(=O)NCCCO)cn2c1nc1ccccc12,7.360000133514404,CHEMBL5148524,Displacement of [3H]DPCPX from human A1AR expressed in HEK293 cells membrane assessed as inhibition constant preincubated for 5 mins followed by [3H]DPCPX addition and measured after 1.5 hrs by TopCount scintillation counting method,24855123,B,Ki,9,=,Homo sapiens,CHEMBL5185998,CHEMBL5143715,,HEK293,Direct protein target assigned,,,,False,-1,False,False,,,7.360000133514404,,,ADORA1_Ki_3828,7.360000133514404,False
CHEMBL226,CCC(CC)Nc1nc(Cl)nc2c1ncn2C1C(O)C(O)C2(CO)CC12,CCC(CC)Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,6.949999809265137,CHEMBL3863864,Displacement of [3H]N6-phenylisopropyladenosine from recombinant human A1AR expressed in CHO cell membranes after 60 mins by liquid scintillation counting method,16771062,B,Ki,9,=,Homo sapiens,CHEMBL3904817,CHEMBL3862033,,CHO,Direct protein target assigned,,,,False,-1,False,False,,,6.949999809265137,,,ADORA1_Ki_2969,6.949999809265137,False
CHEMBL226,COc1cccc(-n2c(=O)n(Cc3ccccc3)c3cnc(NC4CC4)nc32)c1,COc1cccc(-n2c(=O)n(Cc3ccccc3)c3cnc(NC4CC4)nc32)c1,6.25,CHEMBL1018641,Displacement of [3H]DPCPX from human recombinant adenosine A1 receptor expressed in CHOK1 cells,2286062,B,Ki,9,=,Homo sapiens,CHEMBL490723,CHEMBL1152880,,CHO-K1,Direct protein target assigned,,,,False,-1,False,False,,,6.25,,,ADORA1_Ki_1487,6.25,False
CHEMBL226,CCC(CC)Nc1nc(Cl)nc2c1ncn2C12CC(O)C(O)C1C2,CCC(CC)Nc1nc(Cl)nc2c1ncn2[C@@]12C[C@H](O)[C@H](O)[C@@H]1C2,7.099999904632568,CHEMBL3887516,"Radioligand Binding Assay: Radioligand binding assays at A1, A2A, and A3ARs were performed according to the procedures described previously. Each tube in the binding assay contained 100 uL of membrane suspension (20 ug of protein), 50 pt of a stock solution of agonist radioligand, and 50 uL of increasing concentrations of the test ligands in Tris-HCl buffer (50 mM, pH 7.5) containing 10 mM MgCl2. Nonspecific binding was determined using a final concentration of 10 uM NECA, a non-specific agonist, diluted with the buffer.The mixtures were incubated at 25° C. for 60 min. Binding reactions were terminated by filtration through Whatman GF/B filters under a reduced pressure using a MT-24 cell harvester (Brandell, Gaithersburg, Md.). Filters were washed three times with 5 ml of 50 mM ice-cold Tris-HCl buffer (pH 7.5). The radioactive agonists [3H]R-PIA and [3H]CGS21680 were used for the A1 and A2AAR assays, respectively, while [125I]AB-MECA was used for the A3AR assay.",17719170,B,Ki,8,=,Homo sapiens,CHEMBL3929845,CHEMBL3886349,,MT-24,Homologous protein target assigned,,,,False,-1,False,False,,,7.099999904632568,,,ADORA1_Ki_3026,7.099999904632568,False
CHEMBL226,CCCC(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1,CCCC(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1,8.170000076293945,CHEMBL922854,Displacement of [3H]DPCPX from human adenosine A1 receptor expressed in CHO cells,2142152,B,Ki,9,=,Homo sapiens,CHEMBL409126,CHEMBL1143999,,CHO,Direct protein target assigned,,,,False,-1,False,False,,,8.170000076293945,,,ADORA1_Ki_1161,8.170000076293945,False
CHEMBL226,Cn1c(-c2ccco2)nc2c(NC(=O)Cc3ccccc3)ncnc21,Cn1c(-c2ccco2)nc2c(NC(=O)Cc3ccccc3)ncnc21,6.230000019073486,CHEMBL3090424,Displacement of [3H]CCPA from human recombinant adenosine A1 receptor expressed in CHO cells,13834906,B,Ki,9,=,Homo sapiens,CHEMBL3087708,CHEMBL3085675,,CHO,Direct protein target assigned,,,,False,-1,False,False,,,6.230000019073486,,,ADORA1_Ki_2430,6.230000019073486,False
CHEMBL226,CCCCC#Cc1nc(NOC)c2ncn(C3OC(CO)C(O)C3O)c2n1,CCCCC#Cc1nc(NOC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,7.010000228881836,CHEMBL917986,Displacement of [3H]CCPA from human recombinant adenosine A1 receptor expressed in CHO cells,1822764,B,Ki,9,=,Homo sapiens,CHEMBL220889,CHEMBL1142938,,CHO,Direct protein target assigned,,,,False,-1,False,False,,,7.010000228881836,,,ADORA1_Ki_0755,7.010000228881836,False
