target_chembl_id,smiles,original_smiles,pchembl_value,assay_chembl_id,assay_description,activity_id,assay_type,standard_type,confidence_score,standard_relation,target_organism,molecule_chembl_id,document_chembl_id,assay_tissue,assay_cell_type,relationship_description,variant_sequence,indication_class,max_phase,oral,prodrug,withdrawn_flag,might_rancemic,pchembl_value_mean,pchembl_value_std,pchembl_value_median,pchembl_value_mad,pchembl_value_counts,QSPRID,pchembl_value_median_original,Split_IsTrain
CHEMBL226,CCCn1c(=O)c2c(nc3cc(OC)ccn32)n(Cc2ccccc2)c1=O,CCCn1c(=O)c2c(nc3cc(OC)ccn32)n(Cc2ccccc2)c1=O,6.75,CHEMBL641818,Displacement of [3H]DPCPX from CHO cell membrane expressing human Adenosine A1 receptor,1220163,B,Ki,9,=,Homo sapiens,CHEMBL113634,CHEMBL1135743,,CHO,Direct protein target assigned,,,,False,-1,False,False,,,6.75,,,ADORA1_Ki_0008,6.75,False
CHEMBL226,CCCC1C(=O)c2nc(CN3N=C(Cl)CCC3=O)[nH]c2N(C)C1=O,CCCC1C(=O)c2nc(CN3N=C(Cl)CCC3=O)[nH]c2N(C)C1=O,5.039999961853027,CHEMBL633815,Binding affinity at adenosine A1 receptor.,684788,B,Ki,8,=,Homo sapiens,CHEMBL95071,CHEMBL1148458,,,Homologous protein target assigned,,,,False,-1,False,False,,,5.039999961853027,,,ADORA1_Ki_0014,5.039999961853027,False
CHEMBL226,CCCC1C(=O)c2nc(CCN3N=C(c4ccccc4)CCC3=O)[nH]c2N(C)C1=O,CCCC1C(=O)c2nc(CCN3N=C(c4ccccc4)CCC3=O)[nH]c2N(C)C1=O,6.119999885559082,CHEMBL633815,Binding affinity at adenosine A1 receptor.,688807,B,Ki,8,=,Homo sapiens,CHEMBL93615,CHEMBL1148458,,,Homologous protein target assigned,,,,False,-1,False,False,,,6.119999885559082,,,ADORA1_Ki_0017,6.119999885559082,False
CHEMBL226,CC1C(=O)c2nc(CCCCN3N=C(c4ccccc4)CCC3=O)[nH]c2N(C)C1=O,CC1C(=O)c2nc(CCCCN3N=C(c4ccccc4)CCC3=O)[nH]c2N(C)C1=O,5.670000076293945,CHEMBL633815,Binding affinity at adenosine A1 receptor.,709939,B,Ki,8,=,Homo sapiens,CHEMBL94531,CHEMBL1148458,,,Homologous protein target assigned,,,,False,-1,False,False,,,5.670000076293945,,,ADORA1_Ki_0023,5.670000076293945,False
CHEMBL226,CC1C(=O)c2nc(CCCN3N=C(Cl)CCC3=O)[nH]c2N(C)C1=O,CC1C(=O)c2nc(CCCN3N=C(Cl)CCC3=O)[nH]c2N(C)C1=O,5.059999942779541,CHEMBL633815,Binding affinity at adenosine A1 receptor.,713748,B,Ki,8,=,Homo sapiens,CHEMBL330275,CHEMBL1148458,,,Homologous protein target assigned,,,,False,-1,False,False,,,5.059999942779541,,,ADORA1_Ki_0026,5.059999942779541,False
CHEMBL226,Cn1c(-c2cccc(F)c2)nc2c(N)nc(C#CC3(O)CCCCC3)nc21,Cn1c(-c2cccc(F)c2)nc2c(N)nc(C#CC3(O)CCCCC3)nc21,7.849999904632568,CHEMBL637242,Binding Affinity towards Adenosine A1 receptor expressed in CHO-K1 cells versus [3H]CCPA,1295658,B,Ki,8,=,Homo sapiens,CHEMBL48153,CHEMBL1134604,,CHO-K1,Homologous protein target assigned,,,,False,-1,False,False,,,7.849999904632568,,,ADORA1_Ki_0032,7.849999904632568,False
CHEMBL226,Cn1c(-c2cccc(F)c2)nc2c(N)nc(C#CC(C)(C)O)nc21,Cn1c(-c2cccc(F)c2)nc2c(N)nc(C#CC(C)(C)O)nc21,7.519999980926514,CHEMBL637242,Binding Affinity towards Adenosine A1 receptor expressed in CHO-K1 cells versus [3H]CCPA,1298597,B,Ki,8,=,Homo sapiens,CHEMBL300624,CHEMBL1134604,,CHO-K1,Homologous protein target assigned,,,,False,-1,False,False,,,7.519999980926514,,,ADORA1_Ki_0033,7.519999980926514,False
CHEMBL226,CC(C)Nc1nc(C#Cc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,CC(C)Nc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,6.369999885559082,CHEMBL643491,Binding affinity against Human recombinant Adenosine A1 receptor stably transfected in CHO cells using [3H]CCPA as radioligand,220736,B,Ki,8,=,Homo sapiens,CHEMBL2113551,CHEMBL1135517,,CHO,Homologous protein target assigned,,,,False,-1,False,False,,,6.369999885559082,,,ADORA1_Ki_0043,6.369999885559082,False
CHEMBL226,C#CCn1c(=O)c2c(nc(C=Cc3cccc(OC)c3)n2C)n(CCCO)c1=O,C#CCn1c(=O)c2c(nc(/C=C/c3cccc(OC)c3)n2C)n(CCCO)c1=O,5.599999904632568,CHEMBL643492,Binding affinity against human adenosine A1 receptor using [3H]-CCPA (95% confidence),1107430,B,Ki,9,=,Homo sapiens,CHEMBL413079,CHEMBL1133582,,,Direct protein target assigned,,,,False,-1,False,False,,,5.599999904632568,,,ADORA1_Ki_0044,5.599999904632568,False
CHEMBL226,Cc1ccc2c(O)cc(-c3ccc([N+](=O)[O-])cc3)nc2n1,Cc1ccc2c(O)cc(-c3ccc([N+](=O)[O-])cc3)nc2n1,5.510000228881836,CHEMBL643493,Binding affinity against adenosine A1 receptor in human cortical membranes using [3H]CHA as radioligand,343686,B,Ki,8,=,Homo sapiens,CHEMBL316630,CHEMBL1149169,,,Homologous protein target assigned,,,,False,-1,False,False,,,5.510000228881836,,,ADORA1_Ki_0051,5.510000228881836,False
