target_chembl_id,smiles,original_smiles,pchembl_value,assay_chembl_id,assay_description,activity_id,assay_type,standard_type,confidence_score,standard_relation,target_organism,molecule_chembl_id,document_chembl_id,assay_tissue,assay_cell_type,relationship_description,variant_sequence,indication_class,max_phase,oral,prodrug,withdrawn_flag,might_rancemic,pchembl_value_mean,pchembl_value_std,pchembl_value_median,pchembl_value_mad,pchembl_value_counts,QSPRID,pchembl_value_median_original,Split_IsTrain
CHEMBL1994,CS(=O)(=O)Nc1cccc2c(-c3ccc(F)cc3)c[nH]c12,CS(=O)(=O)Nc1cccc2c(-c3ccc(F)cc3)c[nH]c12,6.650000095367432,CHEMBL3607224,Displacement of [3H]-aldosterone from human mineralocorticoid receptor expressed in HEK293 cells by scintillation counting based radioligand competition binding assay,15684213,B,Ki,9,=,Homo sapiens,CHEMBL3605934,CHEMBL3603837,,HEK293,Direct protein target assigned,,,,False,-1,False,False,,,6.650000095367432,,,NR3C2_IC50Ki_551,6.650000095367432,True
CHEMBL1994,CCN1C(=O)C(c2ccc(F)cc2)=C(c2ccc3c(c2)NC(=O)CO3)C1C,CCN1C(=O)C(c2ccc(F)cc2)=C(c2ccc3c(c2)NC(=O)CO3)C1C,7.480000019073486,CHEMBL2423838,Displacement of [3H]-Aldosterone from human MR expressed in 293 cells after 16 hrs by scintillation counting,13416309,B,IC50,9,=,Homo sapiens,CHEMBL2419295,CHEMBL2417412,,HEK293,Direct protein target assigned,,,,False,-1,False,False,,,7.480000019073486,,,NR3C2_IC50Ki_380,7.480000019073486,True
CHEMBL1994,CC(C)(CC(O)(Cc1cc2ncncc2[nH]1)C(F)(F)F)c1cc(Cl)cc2c1OCC2,CC(C)(CC(O)(Cc1cc2ncncc2[nH]1)C(F)(F)F)c1cc(Cl)cc2c1OCC2,6.46999979019165,CHEMBL3132584,Competitive binding affinity to mineralocorticoid receptor (unknown origin) expressed in baculovirus-infected cell system after 1 hr by fluorescence polarization assay in presence of tetramethylrhodamine-labeled dexamethasone,13945733,B,IC50,9,=,Homo sapiens,CHEMBL3126945,CHEMBL3124926,,,Direct protein target assigned,,,,False,-1,False,False,,,6.46999979019165,,,NR3C2_IC50Ki_453,6.46999979019165,True
CHEMBL1994,CCOC(=O)C1=C(c2ccccc2)NC(C)=C(C#N)C1c1ccccc1Cl,CCOC(=O)C1=C(c2ccccc2)NC(C)=C(C#N)C1c1ccccc1Cl,6.039999961853027,CHEMBL1219573,Antagonist activity at mineralocorticoid receptor LBD expressed in human HUH7 cells coexpressing GAL4 by luciferase reporter gene assay,3403425,F,IC50,8,=,Homo sapiens,CHEMBL1215482,CHEMBL1212896,,Huh-7,Homologous protein target assigned,,,,False,-1,False,False,,,6.039999961853027,,,NR3C2_IC50Ki_196,6.039999961853027,True
CHEMBL1994,CC1COc2cccnc2N1C(=O)c1ccc2c(c1)NC(=O)CO2,C[C@H]1COc2cccnc2N1C(=O)c1ccc2c(c1)NC(=O)CO2,5.900000095367432,CHEMBL4423290,Displacement of [3H]-aldosterone to human mineralocorticoid receptor LBD by radiometric binding assay,19363253,B,Ki,9,=,Homo sapiens,CHEMBL4446088,CHEMBL4422622,,,Direct protein target assigned,,,,False,-1,False,False,,,5.900000095367432,,,NR3C2_IC50Ki_660,5.900000095367432,True
CHEMBL1994,Cc1ccccc1C(Cc1ccnc(NC(N)=O)c1)c1ccccc1,Cc1ccccc1C(Cc1ccnc(NC(N)=O)c1)c1ccccc1,7.269999980926514,CHEMBL3705363,"Competitive Molecular Binding Assay: The MR competitive binding assay is based on the binding and displacement of a TAMRA-labeled Dexamethasone probe with fluorescence polarization (FP) detection. The assay is performed in 384-well, low volume NBS black plates (Corning #3676) in assay buffer consisting of 10 mM TES, pH 7.4, 50 mM KCl, 20 mM Sodium molybdate, 1.5 mM EDTA, 0.04% CHAPS, 10% Glycerol and 1 mM DTT. Full Length human mineralocorticoid receptor (hMR) present in a baculovirus infected insect cell lysate is diluted 2 fold in assay buffer and 10 μL of this dilution is added to the assay plate. Blank wells receive 10 μL of the diluted MR lysate containing 3 μM Dexamethasone. 2 μL diluted test compound is transferred to the assay plate for a final starting top concentration of 10 μM in 1% DMSO. The reaction is started by adding 3 μL of 25 nM probe in assay buffer for a final assay concentration of 5 nM.",17633082,B,IC50,9,=,Homo sapiens,CHEMBL3643680,CHEMBL3638806,,,Direct protein target assigned,,,,False,-1,False,False,,,7.269999980926514,,,NR3C2_IC50Ki_582,7.269999980926514,True
CHEMBL1994,COc1cccc(CCc2ccnc(NC(N)=O)c2)c1,COc1cccc(CCc2ccnc(NC(N)=O)c2)c1,5.800000190734863,CHEMBL3705363,"Competitive Molecular Binding Assay: The MR competitive binding assay is based on the binding and displacement of a TAMRA-labeled Dexamethasone probe with fluorescence polarization (FP) detection. The assay is performed in 384-well, low volume NBS black plates (Corning #3676) in assay buffer consisting of 10 mM TES, pH 7.4, 50 mM KCl, 20 mM Sodium molybdate, 1.5 mM EDTA, 0.04% CHAPS, 10% Glycerol and 1 mM DTT. Full Length human mineralocorticoid receptor (hMR) present in a baculovirus infected insect cell lysate is diluted 2 fold in assay buffer and 10 μL of this dilution is added to the assay plate. Blank wells receive 10 μL of the diluted MR lysate containing 3 μM Dexamethasone. 2 μL diluted test compound is transferred to the assay plate for a final starting top concentration of 10 μM in 1% DMSO. The reaction is started by adding 3 μL of 25 nM probe in assay buffer for a final assay concentration of 5 nM.",17633071,B,IC50,9,=,Homo sapiens,CHEMBL3639425,CHEMBL3638806,,,Direct protein target assigned,,,,False,-1,False,False,,,5.800000190734863,,,NR3C2_IC50Ki_575,5.800000190734863,True
CHEMBL1994,Cc1noc(C)c1S(=O)(=O)NCc1ccc(-c2cccnc2)cc1,Cc1noc(C)c1S(=O)(=O)NCc1ccc(-c2cccnc2)cc1,5.820000171661377,CHEMBL3090522,Displacement of [3H]aldosterone from GST-tagged human mineralocorticoid receptor ligand binding domain after 4 hrs by liquid scintillation counting,13835667,B,IC50,9,=,Homo sapiens,CHEMBL3086017,CHEMBL3085697,,,Direct protein target assigned,,,,False,-1,False,False,,,5.820000171661377,,,NR3C2_IC50Ki_396,5.820000171661377,True
CHEMBL1994,COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl,COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)C1c1ccc(F)cc1Cl;COC(=O)C1=C(Cn2cnnn2)NC(C)=C(C#N)[C@H]1c1ccc(F)cc1Cl,7.190;7.280,CHEMBL1219573;CHEMBL1219573,Antagonist activity at mineralocorticoid receptor LBD expressed in human HUH7 cells coexpressing GAL4 by luciferase reporter gene assay;Antagonist activity at mineralocorticoid receptor LBD expressed in human HUH7 cells coexpressing GAL4 by luciferase reporter gene assay,3403473;3403474,F;F,IC50;IC50,8;8,=;=,Homo sapiens;Homo sapiens,CHEMBL1215622;CHEMBL1215623,CHEMBL1212896;CHEMBL1212896,None;None,Huh-7;Huh-7,Homologous protein target assigned;Homologous protein target assigned,None;None,None;None,None;None,False;False,-1;-1,False;False,True,7.235,0.0449999999999999,7.235,0.0449999999999999,2.0,NR3C2_IC50Ki_865,7.235,True
CHEMBL1994,Cc1cc(C)c(S(=O)(=O)NC(Cc2c[nH]c3c(C#N)cc(C)cc23)C(F)(F)F)c(C)c1,Cc1cc(C)c(S(=O)(=O)NC(Cc2c[nH]c3c(C#N)cc(C)cc23)C(F)(F)F)c(C)c1,6.960000038146973,CHEMBL3096917,Binding affinity to mineralocorticoid receptor (unknown origin) by fluorescence polarization competitive binding assay,13845370,B,IC50,9,=,Homo sapiens,CHEMBL3093453,CHEMBL3091451,,,Direct protein target assigned,,,,False,-1,False,False,,,6.960000038146973,,,NR3C2_IC50Ki_422,6.960000038146973,True
