target_chembl_id,smiles,original_smiles,pchembl_value,assay_chembl_id,assay_description,activity_id,assay_type,standard_type,confidence_score,standard_relation,target_organism,molecule_chembl_id,document_chembl_id,assay_tissue,assay_cell_type,relationship_description,variant_sequence,indication_class,max_phase,oral,prodrug,withdrawn_flag,might_rancemic,pchembl_value_mean,pchembl_value_std,pchembl_value_median,pchembl_value_mad,pchembl_value_counts,QSPRID,pchembl_value_median_original,Split_IsTrain
CHEMBL1994,CC(O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C(=O)C=[N+]=[N-],C[C@@H](O)C1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4(C)[C@H]3CCC12C(=O)C=[N+]=[N-],6.050000190734863,CHEMBL654294,Inhibition of 10e-9 M aldosterone activity in CV-1 cells expressing mineralocorticoid receptor,1077734,F,IC50,9,=,Homo sapiens,CHEMBL2112398,CHEMBL1129684,,CV-1,Direct protein target assigned,,,,False,-1,False,False,,,6.050000190734863,,,NR3C2_IC50Ki_001,6.050000190734863,True
CHEMBL1994,CC1=CC(C)(C)Nc2ccc3c(c21)C(=Cc1ccsc1)Oc1ccc(F)cc1-3,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,5.71999979019165,CHEMBL729167,Inhibitory activity against human Mineralocorticoid receptor,32675,B,IC50,9,=,Homo sapiens,CHEMBL134277,CHEMBL1145087,,,Direct protein target assigned,,,,False,-1,False,False,,,5.71999979019165,,,NR3C2_IC50Ki_023,5.71999979019165,True
CHEMBL1994,CC1=CC(C)(C)Nc2ccc3c(c21)COc1ccc([N+](=O)[O-])cc1-3,CC1=CC(C)(C)Nc2ccc3c(c21)COc1ccc([N+](=O)[O-])cc1-3,5.71999979019165,CHEMBL729172,Inhibition of antagonist activity towards mineralocorticoid receptor (hMR),858526,F,IC50,9,=,Homo sapiens,CHEMBL64294,CHEMBL1144945,,,Direct protein target assigned,,,,False,-1,False,False,,,5.71999979019165,,,NR3C2_IC50Ki_030,5.71999979019165,True
CHEMBL1994,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(F)c1)O2,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cccc(F)c1)O2,6.170000076293945,CHEMBL728558,Displacement of [3H]aldosterone from human Mineralocorticoid receptor,613409,B,IC50,9,=,Homo sapiens,CHEMBL65354,CHEMBL1147539,,,Direct protein target assigned,,,,False,-1,False,False,,,6.170000076293945,,,NR3C2_IC50Ki_039,6.170000076293945,True
CHEMBL1994,CS(=O)(=O)Nc1ccc2c(c1)C(c1ccccc1)Oc1cccc(OC(F)F)c1-2,CS(=O)(=O)Nc1ccc2c(c1)C(c1ccccc1)Oc1cccc(OC(F)F)c1-2,6.789999961853027,CHEMBL728558,Displacement of [3H]aldosterone from human Mineralocorticoid receptor,621124,B,IC50,9,=,Homo sapiens,CHEMBL65221,CHEMBL1147539,,,Direct protein target assigned,,,,False,-1,False,False,,,6.789999961853027,,,NR3C2_IC50Ki_044,6.789999961853027,True
CHEMBL1994,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCNC(=O)OC4CC5CC(O)CCC5(C)C5CC(O)C6(C)C(C(C)CCC(=O)O)CCC6C45)cc3)CC21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)CCNC(=O)O[C@@H]4C[C@@H]5CC(O)CC[C@]5(C)[C@H]5C[C@H](O)[C@]6(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@H]6[C@H]45)cc3)C[C@@]21C,6.510000228881836,CHEMBL839923,Inhibition of human Mineralocorticoid receptor,1463792,B,Ki,9,=,Homo sapiens,CHEMBL414041,CHEMBL1138676,,,Direct protein target assigned,,,,False,-1,False,False,,,6.510000228881836,,,NR3C2_IC50Ki_066,6.510000228881836,True
CHEMBL1994,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(OCC(=O)O)cc2)cc1,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(OCC(=O)O)cc2)cc1,6.159999847412109,CHEMBL828398,Inhibition of human mineralocorticoid receptor,1493841,B,IC50,9,=,Homo sapiens,CHEMBL190225,CHEMBL1141148,,,Direct protein target assigned,,,,False,-1,False,False,,,6.159999847412109,,,NR3C2_IC50Ki_067,6.159999847412109,True
CHEMBL1994,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2cccc(OCCCC(=O)NCCCC(=O)O)c2)cc1,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2cccc(OCCCC(=O)NCCCC(=O)O)c2)cc1,6.920000076293945,CHEMBL828398,Inhibition of human mineralocorticoid receptor,1495751,B,IC50,9,=,Homo sapiens,CHEMBL185265,CHEMBL1141148,,,Direct protein target assigned,,,,False,-1,False,False,,,6.920000076293945,,,NR3C2_IC50Ki_070,6.920000076293945,True
CHEMBL1994,CC(C)(CC(O)(C(=O)Nc1ccc2c(c1)COC2=O)C(F)(F)F)c1ccccc1,CC(C)(CC(O)(C(=O)Nc1ccc2c(c1)COC2=O)C(F)(F)F)c1ccccc1,6.670000076293945,CHEMBL880258,Binding affinity towards mineralocorticoid receptor using fluorescence polarization competitive binding assay,1600917,B,IC50,9,=,Homo sapiens,CHEMBL196067,CHEMBL1143464,,,Direct protein target assigned,,,,False,-1,False,False,,,6.670000076293945,,,NR3C2_IC50Ki_072,6.670000076293945,True
CHEMBL1994,CC(C)(CC(O)(Cc1ccccc1)C(=O)Nc1ccc2c(c1)COC2=O)c1ccccc1,CC(C)(CC(O)(Cc1ccccc1)C(=O)Nc1ccc2c(c1)COC2=O)c1ccccc1,6.800000190734863,CHEMBL880258,Binding affinity towards mineralocorticoid receptor using fluorescence polarization competitive binding assay,1600961,B,IC50,9,=,Homo sapiens,CHEMBL197161,CHEMBL1143464,,,Direct protein target assigned,,,,False,-1,False,False,,,6.800000190734863,,,NR3C2_IC50Ki_076,6.800000190734863,True
