QSPRID	pchembl_value_median_Label	pchembl_value_median_Prediction	Fold
ADORA1_Ki_train_1274	8.85	8.14645	0.0
ADORA1_Ki_train_0602	6.81	7.25982	0.0
ADORA1_Ki_train_0801	7.57	7.48136	0.0
ADORA1_Ki_train_0990	8.14	6.66764	0.0
ADORA1_Ki_train_0207	6.62	6.5766	0.0
ADORA1_Ki_train_2982	7.13	6.86181	0.0
ADORA1_Ki_train_2042	6.43	6.39849	0.0
ADORA1_Ki_train_1294	6.0	6.10073	0.0
ADORA1_Ki_train_1204	6.19	6.18636	0.0
ADORA1_Ki_train_3220	7.7	7.17993	0.0
ADORA1_Ki_train_0108	6.47	6.27781	0.0
ADORA1_Ki_train_0406	6.93	6.80297	0.0
ADORA1_Ki_train_1173	6.17	7.14684	0.0
ADORA1_Ki_train_1622	8.44	7.40802	0.0
ADORA1_Ki_train_0405	6.47	7.05428	0.0
ADORA1_Ki_train_1725	8.25	8.08627	0.0
ADORA1_Ki_train_0276	6.89	6.94389	0.0
ADORA1_Ki_train_3031	6.5	6.37171	0.0
ADORA1_Ki_train_0637	5.76	6.33992	0.0
ADORA1_Ki_train_0901	5.81	6.14793	0.0
ADORA1_Ki_train_2390	6.46	5.59575	0.0
ADORA1_Ki_train_1593	6.62	7.33516	0.0
ADORA1_Ki_train_0376	6.8	7.01383	0.0
ADORA1_Ki_train_2147	6.72	6.20674	0.0
ADORA1_Ki_train_0945	6.39	6.21718	0.0
ADORA1_Ki_train_0552	6.42	6.38878	0.0
ADORA1_Ki_train_2227	5.55	5.88143	0.0
ADORA1_Ki_train_2072	6.57	6.53587	0.0
ADORA1_Ki_train_0813	6.52	6.55841	0.0
ADORA1_Ki_train_2621	6.26	6.01814	0.0
ADORA1_Ki_train_0346	8.31	8.20731	0.0
ADORA1_Ki_train_1363	5.22	5.80567	0.0
ADORA1_Ki_train_1875	6.84	7.10273	0.0
ADORA1_Ki_train_1333	7.02	6.08718	0.0
ADORA1_Ki_train_1231	8.21	8.1541	0.0
ADORA1_Ki_train_1899	6.38	6.26937	0.0
ADORA1_Ki_train_2471	6.27	7.16025	0.0
ADORA1_Ki_train_2716	5.025	5.50352	0.0
ADORA1_Ki_train_2959	6.66	6.41749	0.0
ADORA1_Ki_train_3476	8.87	8.02469	0.0
ADORA1_Ki_train_2029	5.19	5.20699	0.0
ADORA1_Ki_train_2175	6.22	6.22133	0.0
ADORA1_Ki_train_3202	8.82	7.97508	0.0
ADORA1_Ki_train_0758	5.96	6.296	0.0
ADORA1_Ki_train_1371	6.58	6.33482	0.0
ADORA1_Ki_train_3675	7.91	7.1818	0.0
ADORA1_Ki_train_2043	5.51	5.91626	0.0
ADORA1_Ki_train_0080	6.64	8.90035	0.0
ADORA1_Ki_train_0515	6.64	6.38315	0.0
ADORA1_Ki_train_0101	5.96	6.30824	0.0
ADORA1_Ki_train_0761	7.98	7.85115	0.0
ADORA1_Ki_train_0004	6.95	7.34878	0.0
ADORA1_Ki_train_2526	7.35	7.22006	0.0
ADORA1_Ki_train_2417	5.06	6.60804	0.0
ADORA1_Ki_train_1672	6.51	6.96853	0.0
ADORA1_Ki_train_0488	5.45	5.8925	0.0
ADORA1_Ki_train_1427	9.02	8.89647	0.0
ADORA1_Ki_train_2137	4.49	5.16108	0.0
ADORA1_Ki_train_2828	5.21	5.78137	0.0
ADORA1_Ki_train_1369	6.0	5.95265	0.0
ADORA1_Ki_train_0091	6.14	6.22669	0.0
ADORA1_Ki_train_3190	6.72	6.40574	0.0
ADORA1_Ki_train_0714	5.0	6.94665	0.0
ADORA1_Ki_train_0754	5.51	5.91766	0.0
ADORA1_Ki_train_3136	8.16	8.4108	0.0
ADORA1_Ki_train_1388	5.62	5.65426	0.0
ADORA1_Ki_train_0835	5.52	5.46241	0.0
ADORA1_Ki_train_0140	6.73	7.26242	0.0
ADORA1_Ki_train_3549	6.2	6.88814	0.0
ADORA1_Ki_train_2124	5.99	5.784	0.0
ADORA1_Ki_train_2934	7.49	7.6888	0.0
ADORA1_Ki_train_1376	5.12	6.962	0.0
ADORA1_Ki_train_1651	6.28	7.21981	0.0
ADORA1_Ki_train_0778	7.73	7.79443	0.0
ADORA1_Ki_train_1405	5.43	6.02298	0.0
ADORA1_Ki_train_2334	5.98	6.12866	0.0
ADORA1_Ki_train_1924	6.44	6.48927	0.0
ADORA1_Ki_train_1237	6.1	6.44464	0.0
ADORA1_Ki_train_0789	5.7	5.81406	0.0
ADORA1_Ki_train_1663	5.41	5.75137	0.0
ADORA1_Ki_train_0975	6.23	5.90698	0.0
ADORA1_Ki_train_1532	7.14	7.07966	0.0
ADORA1_Ki_train_1837	5.8	6.20325	0.0
ADORA1_Ki_train_2088	5.97	6.32693	0.0
ADORA1_Ki_train_3296	7.04	7.29499	0.0
ADORA1_Ki_train_2942	7.06	6.09354	0.0
ADORA1_Ki_train_0040	6.4	6.1548	0.0
ADORA1_Ki_train_2237	5.58	6.65518	0.0
ADORA1_Ki_train_2569	5.96	6.033	0.0
ADORA1_Ki_train_0820	5.76	5.48784	0.0
ADORA1_Ki_train_1143	7.17	6.8404	0.0
ADORA1_Ki_train_2647	4.92	5.47257	0.0
ADORA1_Ki_train_0056	5.53	6.31239	0.0
ADORA1_Ki_train_3033	7.0	5.56366	0.0
ADORA1_Ki_train_1597	7.19	6.24948	0.0
ADORA1_Ki_train_2386	7.15	7.02623	0.0
ADORA1_Ki_train_3247	6.18	7.29571	0.0
ADORA1_Ki_train_1269	5.39	5.81173	0.0
ADORA1_Ki_train_0766	6.6	7.10412	0.0
ADORA1_Ki_train_0419	6.4	6.59271	0.0
ADORA1_Ki_train_2080	5.89	5.42149	0.0
ADORA1_Ki_train_0348	4.41	4.38705	0.0
ADORA1_Ki_train_3308	7.19	6.43855	0.0
ADORA1_Ki_train_0961	5.35	6.88716	0.0
ADORA1_Ki_train_1830	7.93	7.83958	0.0
ADORA1_Ki_train_0920	5.49	5.92267	0.0
ADORA1_Ki_train_0384	6.47	6.38142	0.0
ADORA1_Ki_train_0332	5.77	5.93807	0.0
ADORA1_Ki_train_2285	5.82	6.12714	0.0
ADORA1_Ki_train_0865	6.85	6.5479	0.0
ADORA1_Ki_train_3336	5.8	6.00188	0.0
ADORA1_Ki_train_1302	5.22	6.59548	0.0
ADORA1_Ki_train_0232	7.26	6.3596	0.0
ADORA1_Ki_train_0876	8.38	7.88493	0.0
ADORA1_Ki_train_1016	5.76	5.64447	0.0
ADORA1_Ki_train_3179	5.61	6.64033	0.0
ADORA1_Ki_train_3338	7.0	6.21575	0.0
ADORA1_Ki_train_2387	5.71	6.09932	0.0
ADORA1_Ki_train_3469	6.08	6.17382	0.0
ADORA1_Ki_train_0025	8.76	7.26169	0.0
ADORA1_Ki_train_2197	7.55	6.77473	0.0
ADORA1_Ki_train_3263	6.92	6.64819	0.0
ADORA1_Ki_train_2836	5.655	5.83147	0.0
ADORA1_Ki_train_2116	7.05	7.24733	0.0
ADORA1_Ki_train_3121	8.51	7.55264	0.0
ADORA1_Ki_train_2394	6.4	6.56688	0.0
ADORA1_Ki_train_3409	7.64	7.12907	0.0
ADORA1_Ki_train_2883	6.51	7.20464	0.0
ADORA1_Ki_train_1358	7.24	6.73073	0.0
ADORA1_Ki_train_3443	7.47	6.98611	0.0
ADORA1_Ki_train_0323	7.19	6.17778	0.0
ADORA1_Ki_train_3146	4.48	5.31491	0.0
