QSPRID	pchembl_value_median_Label	pchembl_value_median_Prediction
ADORA1_Ki_train_0196	8.93	8.16556
ADORA1_Ki_train_3542	5.75	5.13628
ADORA1_Ki_train_0655	8.21	8.0271
ADORA1_Ki_train_2063	7.18	7.04843
ADORA1_Ki_train_0465	7.17	6.7991
ADORA1_Ki_train_1674	6.66	7.64467
ADORA1_Ki_train_3144	8.3	8.51746
ADORA1_Ki_train_1925	4.78	5.53702
ADORA1_Ki_train_2272	6.96	6.24783
ADORA1_Ki_train_2126	5.67	5.85367
ADORA1_Ki_train_0691	6.77	6.69413
ADORA1_Ki_train_0063	6.88	6.79673
ADORA1_Ki_train_3551	6.66	5.84121
ADORA1_Ki_train_1163	7.46	7.17049
ADORA1_Ki_train_3004	6.46	6.9006
ADORA1_Ki_train_1258	5.47	5.67993
ADORA1_Ki_train_1071	7.86	7.215
ADORA1_Ki_train_1421	6.26	6.25885
ADORA1_Ki_train_0693	5.68	5.86082
ADORA1_Ki_train_2148	6.4	7.14461
ADORA1_Ki_train_1055	6.87	8.1663
ADORA1_Ki_train_1320	7.12	6.95616
ADORA1_Ki_train_3274	6.04	5.53051
ADORA1_Ki_train_2132	4.92	6.64163
ADORA1_Ki_train_0032	6.17	6.47424
ADORA1_Ki_train_1057	5.67	5.82993
ADORA1_Ki_train_2907	6.02	6.26374
ADORA1_Ki_train_3599	7.7	7.5285
ADORA1_Ki_train_1624	8.55	8.7168
ADORA1_Ki_train_3565	6.44	6.29899
ADORA1_Ki_train_1697	5.84	6.13008
ADORA1_Ki_train_3379	6.87	6.39987
ADORA1_Ki_train_0511	6.58	6.56121
ADORA1_Ki_train_0794	10.0	7.30077
ADORA1_Ki_train_2463	5.92	6.4353
ADORA1_Ki_train_1988	6.03	6.51519
ADORA1_Ki_train_1950	6.685	7.45488
ADORA1_Ki_train_3222	6.76	7.37565
ADORA1_Ki_train_0393	7.14	6.95474
ADORA1_Ki_train_1113	5.66	6.00887
ADORA1_Ki_train_0279	6.33	5.9378
ADORA1_Ki_train_0325	6.59	6.34653
ADORA1_Ki_train_2409	6.92	6.65987
ADORA1_Ki_train_1947	7.5	7.55668
ADORA1_Ki_train_1068	5.89	5.89498
ADORA1_Ki_train_0621	7.52	6.47143
ADORA1_Ki_train_1869	5.17	7.20505
ADORA1_Ki_train_0366	6.61	7.06995
ADORA1_Ki_train_0978	5.92	5.7652
ADORA1_Ki_train_3484	7.69	7.10201
ADORA1_Ki_train_0862	7.335	6.19561
ADORA1_Ki_train_2429	7.1	6.28419
ADORA1_Ki_train_2183	7.6	6.96272
ADORA1_Ki_train_0134	6.71	6.88364
ADORA1_Ki_train_1052	5.12	5.79376
ADORA1_Ki_train_2726	6.37	7.87746
ADORA1_Ki_train_0051	7.7	7.348
ADORA1_Ki_train_0461	6.57	7.26305
ADORA1_Ki_train_1422	6.53	6.34869
ADORA1_Ki_train_2378	5.21	4.79059
ADORA1_Ki_train_3299	7.0	6.56909
ADORA1_Ki_train_3269	6.635	6.82723
ADORA1_Ki_train_2899	8.4	7.8775
ADORA1_Ki_train_0026	7.83	8.07809
ADORA1_Ki_train_0705	8.91	8.03988
ADORA1_Ki_train_2630	7.25	6.51711
ADORA1_Ki_train_0490	6.99	6.47906
ADORA1_Ki_train_2370	5.63	5.85704
ADORA1_Ki_train_0712	6.21	6.06745
ADORA1_Ki_train_2927	5.26	6.06613
ADORA1_Ki_train_0139	6.88	6.61888
ADORA1_Ki_train_0192	6.36	7.20864
ADORA1_Ki_train_2751	6.43	6.56464
ADORA1_Ki_train_3616	5.38	5.53722
ADORA1_Ki_train_2956	7.38	7.3517
ADORA1_Ki_train_1866	6.43	5.53664
ADORA1_Ki_train_0781	8.91	7.19272
ADORA1_Ki_train_1064	5.08	5.46176
ADORA1_Ki_train_1395	8.36	8.07565
ADORA1_Ki_train_2609	7.52	7.19721
ADORA1_Ki_train_1094	6.03	6.07658
ADORA1_Ki_train_1356	7.47	7.14741
ADORA1_Ki_train_1815	7.08	6.51014
ADORA1_Ki_train_0817	4.9	5.56327
ADORA1_Ki_train_3494	6.49	6.43169
ADORA1_Ki_train_3509	6.81	6.23447
ADORA1_Ki_train_0263	8.19	6.88132
ADORA1_Ki_train_2430	5.57	5.9261
ADORA1_Ki_train_1961	8.01	8.02086
ADORA1_Ki_train_3286	6.33	6.1967
ADORA1_Ki_train_2510	5.65	5.92124
ADORA1_Ki_train_3676	5.48	6.13183
ADORA1_Ki_train_1417	5.29	5.35172
ADORA1_Ki_train_0486	6.3	5.77548
ADORA1_Ki_train_1114	6.32	5.62111
ADORA1_Ki_train_0124	5.72	5.50604
ADORA1_Ki_train_0033	7.07	7.4012
ADORA1_Ki_train_2957	5.2	5.45174
ADORA1_Ki_train_0840	5.94	6.10574
ADORA1_Ki_train_0256	6.09	6.34396
ADORA1_Ki_train_0183	6.32	6.7621
ADORA1_Ki_train_3200	6.38	6.80792
ADORA1_Ki_train_3505	5.29	5.91667
ADORA1_Ki_train_0463	6.18	6.85856
ADORA1_Ki_train_2366	7.1	6.95186
ADORA1_Ki_train_0070	5.97	6.05433
ADORA1_Ki_train_3230	6.49	6.69402
ADORA1_Ki_train_2382	7.57	7.30961
ADORA1_Ki_train_0776	6.4	6.01846
ADORA1_Ki_train_1457	7.66	6.3345
ADORA1_Ki_train_0315	5.06	5.08811
ADORA1_Ki_train_2784	4.87	6.28927
ADORA1_Ki_train_1018	5.96	6.03348
ADORA1_Ki_train_1483	5.35	5.37604
ADORA1_Ki_train_3504	7.34	6.45504
ADORA1_Ki_train_1502	5.61	5.86313
ADORA1_Ki_train_1149	7.82	7.45111
ADORA1_Ki_train_2127	6.02	6.58914
ADORA1_Ki_train_0544	7.0	6.78242
ADORA1_Ki_train_2245	5.6	6.00607
ADORA1_Ki_train_0144	6.11	7.03447
ADORA1_Ki_train_2107	4.73	5.20552
ADORA1_Ki_train_2552	4.85	4.69225
ADORA1_Ki_train_1345	7.22	7.52588
ADORA1_Ki_train_0149	6.1	6.14779
ADORA1_Ki_train_1736	6.33	6.84261
ADORA1_Ki_train_0839	8.7	8.22247
ADORA1_Ki_train_0718	6.13	5.73436
ADORA1_Ki_train_0564	6.47	5.72519
ADORA1_Ki_train_2274	8.01	6.68449
ADORA1_Ki_train_0907	7.55	7.88637
ADORA1_Ki_train_0925	6.155	7.10227
ADORA1_Ki_train_3128	5.9	5.7906
ADORA1_Ki_train_0561	6.23	6.6879
ADORA1_Ki_train_0184	7.18	7.44548
ADORA1_Ki_train_0305	8.01	7.8426
ADORA1_Ki_train_2667	7.11	6.69697
ADORA1_Ki_train_0554	4.64	5.66069
ADORA1_Ki_train_2946	7.74	7.08669
ADORA1_Ki_train_1414	6.08	5.90952
ADORA1_Ki_train_1161	6.81	6.0906
ADORA1_Ki_train_1783	5.79	6.4281
ADORA1_Ki_train_0805	6.61	6.50138
ADORA1_Ki_train_3185	6.61	7.04019
ADORA1_Ki_train_1455	6.93	6.57801
ADORA1_Ki_train_3199	8.45	8.58015
ADORA1_Ki_train_1423	5.58	6.14223
ADORA1_Ki_train_2759	7.1	6.96554
ADORA1_Ki_train_2138	6.77	6.70833
ADORA1_Ki_train_2367	6.69	6.92897
ADORA1_Ki_train_1499	5.7	5.43816
ADORA1_Ki_train_3088	6.73	6.71454
ADORA1_Ki_train_1210	6.46	6.93729
ADORA1_Ki_train_0314	5.8	6.64854
ADORA1_Ki_train_2854	6.87	7.04706
ADORA1_Ki_train_3061	6.0	6.04369
ADORA1_Ki_train_1670	4.98	5.87286
ADORA1_Ki_train_1067	4.5	5.23679
ADORA1_Ki_train_2587	6.96	6.80044
ADORA1_Ki_train_2369	6.89	6.93593
ADORA1_Ki_train_1108	7.19	7.18398
ADORA1_Ki_train_3451	6.6	6.70748
ADORA1_Ki_train_3560	6.41	6.11706
ADORA1_Ki_train_3396	10.12	8.34473
ADORA1_Ki_train_1967	8.33	8.14466
ADORA1_Ki_train_2276	8.0	7.95469
ADORA1_Ki_train_1475	6.89	6.46644
ADORA1_Ki_train_2381	6.47	6.9466
ADORA1_Ki_train_0017	5.68	5.69685
ADORA1_Ki_train_1073	6.96	6.0031
ADORA1_Ki_train_1760	6.39	6.14297
ADORA1_Ki_train_2962	6.96	6.46436
ADORA1_Ki_train_1116	6.32	6.41896
ADORA1_Ki_train_2867	5.0	6.42243
ADORA1_Ki_train_3223	5.53	5.80907
ADORA1_Ki_train_1178	7.3	6.50545
ADORA1_Ki_train_0670	5.23	5.9318
ADORA1_Ki_train_0251	6.65	6.49022
ADORA1_Ki_train_0790	6.92	6.75084
ADORA1_Ki_train_3496	5.83	6.02975
ADORA1_Ki_train_1032	8.22	7.79654
ADORA1_Ki_train_1954	5.97	5.75829
ADORA1_Ki_train_3640	8.11	7.32265
ADORA1_Ki_train_1263	7.42	7.45486
ADORA1_Ki_train_3265	6.14	6.46179
ADORA1_Ki_train_0358	6.34	6.7305
ADORA1_Ki_train_3440	6.79	6.13758
ADORA1_Ki_train_0538	6.46	6.47332
ADORA1_Ki_train_2622	6.77	6.31942
