QSPRID	pchembl_value_median_Label	pchembl_value_median_Prediction	Fold
NR3C2_KiIC50_train_503	6.8	7.03482	0.0
NR3C2_KiIC50_train_528	5.77	6.24426	0.0
NR3C2_KiIC50_train_238	6.0	6.28892	0.0
NR3C2_KiIC50_train_185	5.2	6.70414	0.0
NR3C2_KiIC50_train_463	6.19	5.48047	0.0
NR3C2_KiIC50_train_450	6.92	6.9053	0.0
NR3C2_KiIC50_train_666	5.82	6.48232	0.0
NR3C2_KiIC50_train_516	5.82	5.99488	0.0
NR3C2_KiIC50_train_158	6.64	6.8337	0.0
NR3C2_KiIC50_train_478	6.42	6.50567	0.0
NR3C2_KiIC50_train_580	7.875	7.14554	0.0
NR3C2_KiIC50_train_308	5.8	5.9744	0.0
NR3C2_KiIC50_train_512	6.17	6.49224	0.0
NR3C2_KiIC50_train_778	6.76	6.31485	0.0
NR3C2_KiIC50_train_061	6.71	6.62204	0.0
NR3C2_KiIC50_train_651	7.38	6.4201	0.0
NR3C2_KiIC50_train_589	6.0	7.12576	0.0
NR3C2_KiIC50_train_743	8.66	8.07419	0.0
NR3C2_KiIC50_train_672	6.68	6.79725	0.0
NR3C2_KiIC50_train_640	5.72	6.40358	0.0
NR3C2_KiIC50_train_594	6.13	6.41881	0.0
NR3C2_KiIC50_train_707	6.81	5.49009	0.0
NR3C2_KiIC50_train_465	7.5	6.78939	0.0
NR3C2_KiIC50_train_419	6.5	6.51254	0.0
NR3C2_KiIC50_train_281	5.72	6.208	0.0
NR3C2_KiIC50_train_163	9.47	8.00459	0.0
NR3C2_KiIC50_train_125	6.16	7.45158	0.0
NR3C2_KiIC50_train_174	6.0	6.06766	0.0
NR3C2_KiIC50_train_404	6.29	6.47993	0.0
NR3C2_KiIC50_train_732	5.92	7.60672	0.0
NR3C2_KiIC50_train_179	5.96	6.18053	0.0
NR3C2_KiIC50_train_383	5.28	5.74936	0.0
NR3C2_KiIC50_train_311	6.92	6.2053	0.0
NR3C2_KiIC50_train_292	7.11	7.14846	0.0
NR3C2_KiIC50_train_507	7.96	6.45313	0.0
NR3C2_KiIC50_train_394	6.23	6.50104	0.0
NR3C2_KiIC50_train_738	7.75	7.01633	0.0
NR3C2_KiIC50_train_439	6.89	5.78591	0.0
NR3C2_KiIC50_train_388	7.6	6.86588	0.0
NR3C2_KiIC50_train_040	6.33	6.08119	0.0
NR3C2_KiIC50_train_538	8.05	8.05089	0.0
NR3C2_KiIC50_train_087	5.5	6.06637	0.0
NR3C2_KiIC50_train_547	6.7	6.13043	0.0
NR3C2_KiIC50_train_269	5.4	6.11512	0.0
NR3C2_KiIC50_train_351	5.8	6.12281	0.0
NR3C2_KiIC50_train_664	7.8	7.27922	0.0
NR3C2_KiIC50_train_735	6.18	6.2631	0.0
NR3C2_KiIC50_train_157	7.7	7.35334	0.0
NR3C2_KiIC50_train_736	5.95	6.17354	0.0
NR3C2_KiIC50_train_197	6.03	6.4065	0.0
NR3C2_KiIC50_train_045	6.14	6.29202	0.0
NR3C2_KiIC50_train_420	5.7	5.93973	0.0
NR3C2_KiIC50_train_166	5.62	6.7951	0.0
NR3C2_KiIC50_train_686	6.84	6.8695	0.0
NR3C2_KiIC50_train_560	6.56	6.64449	0.0
NR3C2_KiIC50_train_460	7.12	6.82056	0.0
NR3C2_KiIC50_train_637	7.42	7.03334	0.0
NR3C2_KiIC50_train_229	7.55	6.91848	0.0
NR3C2_KiIC50_train_436	5.86	6.32189	0.0
NR3C2_KiIC50_train_773	6.3	6.37189	0.0
NR3C2_KiIC50_train_466	5.23	6.48552	0.0
NR3C2_KiIC50_train_314	5.97	5.71463	0.0
NR3C2_KiIC50_train_306	5.94	6.30164	0.0
NR3C2_KiIC50_train_104	7.16	6.89357	0.0
