QSPRID	pchembl_value_median_Label	pchembl_value_median_Prediction
NR3C2_KiIC50_train_137	6.82	6.79599
NR3C2_KiIC50_train_198	6.15	6.38103
NR3C2_KiIC50_train_739	6.44	7.10581
NR3C2_KiIC50_train_583	6.475	6.25895
NR3C2_KiIC50_train_655	5.935	7.08859
NR3C2_KiIC50_train_063	6.29	6.21163
NR3C2_KiIC50_train_275	7.24	7.08464
NR3C2_KiIC50_train_521	6.14	6.20391
NR3C2_KiIC50_train_467	6.05	5.93254
NR3C2_KiIC50_train_078	7.25	7.89894
NR3C2_KiIC50_train_329	5.84	6.16488
NR3C2_KiIC50_train_235	7.755	6.66605
NR3C2_KiIC50_train_518	8.7	7.29809
NR3C2_KiIC50_train_066	6.4	6.52479
NR3C2_KiIC50_train_758	6.87	6.25201
NR3C2_KiIC50_train_340	5.57	5.55518
NR3C2_KiIC50_train_239	4.68	6.86361
NR3C2_KiIC50_train_453	5.41	5.95121
NR3C2_KiIC50_train_668	7.89	7.7812
NR3C2_KiIC50_train_523	8.21	8.35913
NR3C2_KiIC50_train_597	7.85	6.3649
NR3C2_KiIC50_train_730	7.755	7.13024
NR3C2_KiIC50_train_342	5.27	6.41128
NR3C2_KiIC50_train_586	6.07	6.46652
NR3C2_KiIC50_train_096	5.01	5.71833
NR3C2_KiIC50_train_030	6.36	6.10845
NR3C2_KiIC50_train_575	6.885	7.15269
NR3C2_KiIC50_train_199	5.65	6.19956
NR3C2_KiIC50_train_633	7.95	6.9425
NR3C2_KiIC50_train_247	6.43	6.89699
NR3C2_KiIC50_train_211	6.19	5.99092
NR3C2_KiIC50_train_210	7.64	6.78647
NR3C2_KiIC50_train_627	5.0	6.29125
NR3C2_KiIC50_train_168	5.13	6.66981
NR3C2_KiIC50_train_039	7.19	6.9505
NR3C2_KiIC50_train_023	5.52	5.88512
NR3C2_KiIC50_train_624	6.21	6.30743
NR3C2_KiIC50_train_443	6.1	6.42582
NR3C2_KiIC50_train_250	6.68	7.24946
NR3C2_KiIC50_train_779	6.77	6.68326
NR3C2_KiIC50_train_456	7.16	7.01776
NR3C2_KiIC50_train_483	5.52	6.6133
NR3C2_KiIC50_train_706	7.28	7.05306
NR3C2_KiIC50_train_638	7.05	6.85438
NR3C2_KiIC50_train_294	6.85	6.46148
NR3C2_KiIC50_train_522	6.34	6.22207
NR3C2_KiIC50_train_687	6.48	5.63565
NR3C2_KiIC50_train_542	8.45	7.57284
NR3C2_KiIC50_train_750	5.635	6.49382
NR3C2_KiIC50_train_457	7.26	6.82776
NR3C2_KiIC50_train_530	5.77	6.67312
NR3C2_KiIC50_train_086	7.68	6.84755
NR3C2_KiIC50_train_659	7.52	7.13248
NR3C2_KiIC50_train_529	5.41	6.32174
NR3C2_KiIC50_train_429	6.37	6.18343
NR3C2_KiIC50_train_361	6.15	5.99959
NR3C2_KiIC50_train_623	7.66	6.91605
NR3C2_KiIC50_train_748	5.0	5.98116
NR3C2_KiIC50_train_636	6.06	6.5425
NR3C2_KiIC50_train_617	7.41	7.48375
NR3C2_KiIC50_train_755	6.85	6.8166
NR3C2_KiIC50_train_531	7.42	7.54677
NR3C2_KiIC50_train_067	6.57	6.85926
NR3C2_KiIC50_train_714	6.28	6.12502
