Item Name	Smiles	Plate Location	CAS Number	Concentration	Catalog Number	Target	Brief Description
MK-2206 dihydrochloride	C1(=CC=CC=C1)C2(=C(N=C3C(=C2)C4N(C=C3)C(NN=4)=O)C5=CC=C(C=C5)C6(CCC6)N).Cl.Cl	d7-L1200-01	1032350-13-2, 1032349-93-1 (free base), 1032349-77-1 (HCl)	10 mM	S1078	Akt	MK2206 an Akt inhibitor with IC50 at 8 nm, 2 mM, 65 mM for Akt1, Akt2 and Akt3, respectively is available on Selleck.
GSK690693	C12=C(C(=CN=C1C#CC(C)(O)C)OC[C@@H]3CNCCC3)N(C(=N2)C4C(=NON=4)N)CC	a10-L1200-01	937174-76-0	10 mM	S1113	Akt	GSK690693 is a pan-Akt inhibitor targeting Akt1, Akt2 and Akt3 with IC50 of 2 nM, 13 nM, and 9 nM, respectively.
Triciribine (Triciribine phosphate)	[C@H]1([C@@H]([C@H](O[C@@H]1N2C3=C4C(=C2)C(=NN(C4=NC=N3)C)N)CO)O)O	d10-L1200-01	35943-35-2	10 mM	S1117	Akt	Triciribine (TCN, API-2) is a DNA synthesis inhibitor and also inhibits Akt and HIV-1 with IC50 of 130 nM and 20 nM, respectively.
PHT-427	C1=C(C=CC(=C1)S(=O)(NC2=NN=CS2)=O)CCCCCCCCCCCC	e9-L1200-02	1191951-57-1, 1178893-77-0	10 mM	S1556	Akt	PHT-427 is a dual Akt and PDPK1 inhibitor with Ki of 2.7 _M and 5.2 _M, respectively.
CCT128930	N1=CN=C2C(=C1N3CCC(CC3)(N)CC4=CC=C(C=C4)Cl)C=CN2	c6-L1200-03	885499-61-6	10 mM	S2635	Akt	CCT128930 is a novel potent ATP-competitive, AKT inhibitor with an IC50 of 6 nM.
GDC-0068	C1CN(CCN1C([C@@H](C2=CC=C(C=C2)Cl)CNC(C)C)=O)C3=C4C(=NC=N3)[C@H](C[C@H]4C)O	b4-L1200-04	1001264-89-6	10 mM	S2808	Akt	GDC-0068 is a highly selective pan-Akt inhibitor targeting Akt1, Akt2 and Akt3 with IC50 of 5 nM, 18 nM and 8 nM, respectively.
A-674563	C1=CC=CC(=C1)C[C@@H](COC2=CC(=CN=C2)C3=CC4=C(C=C3)NN=C4C)N	a7-L1200-03	552325-73-2	10 mM	S2670	Akt, CDK, PKA	A-674563 is a potent selective protein kinase B/Akt inhibitor with an IC50 of 14 nM.
AT7867	C1(=CC=C(C=C1)C2(C3=CC=C(C=C3)C4=CNN=C4)CCNCC2)Cl	g9-L1200-02	857531-00-1	10 mM	S1558	Akt, S6 kinase	AT7867 is a potent and oral AKT and p70 S6 kinase inhibitor with an IC50 of 17 nM.
TAE684 (NVP-TAE684)	C1=CC(=CC(=C1NC2=NC=C(C(=N2)NC3=C(C=CC=C3)S(=O)(=O)C(C)C)Cl)OC)N4CCC(CC4)N5CCN(CC5)C	e9-L1200-01	761439-42-3	10 mM	S1108	ALK	ALK inhibitor with an IC50 between 2 and 10 nM.
CH5424802	C1(=CC=C2C(=C1)NC3=C2C(C4=C(C3(C)C)C=C(C(=C4)CC)N5CCC(CC5)N6CCOCC6)=O)C#N	c2-L1200-04	1256580-46-7, 1256589-74-8 (HCl)	10 mM	S2762	ALK	CH5424802 is a potent and selective ALK inhibitor with IC50 of 1.9 nM.
