Compound,Activity,Certainty,SMILES,Antineoplastic,Screening
1-(2-methoxyphenyl)pierazine hydrochloride,inactive,1.0,COc1c(N2CCNCC2)cccc1,False,spectrum
1-hydroxy-3.6.7-trimethoxy-2.8-diprenylxanthone,inactive,1.0,COc1c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(OC)c(OC)cc3oc2c1,False,spectrum
1-monopalmitin,inactive,1.0,CCCCCCCCCCCCCCCC(=O)OCC(O)CO,False,spectrum
1.2-dimethylhydrazine hydrochloride,inactive,1.0,CNNC,False,spectrum
1.2alpha-EPOXYDEACETOXYDIHYDROGEDUNIN,inactive,1.0,CC1(C)C(=O)[C@@H]2O[C@@H]2[C@@]2(C)C1C[C@@H](O)[C@]1(C)C2CC[C@@]2(C)[C@H](c3cocc3)OC(=O)C3OC321,False,spectrum
1.3-dideacetyl-7-deacetoxy-7-oxokhivorin,inactive,1.0,CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5cocc5)OC(=O)C5OC543)[C@@]2(C)[C@@H](O)C[C@H]1O,False,spectrum
1.4-naphthoquinone,inactive,1.0,O=C1C=CC(=O)c2c1cccc2,False,spectrum
1.4.5.8-tetrahydroxy-2.6-dimethylanthroquinone,inactive,1.0,Cc1c(O)c2c(C(=O)c3c(C2=O)c(O)cc(C)c3O)c(O)c1,False,spectrum
1.7-dideacetoxy-1.7-dioxo-3-deacetylkhivorin,inactive,1.0,CC1(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5cocc5)OC(=O)[C@H]5O[C@]543)[C@@]2(C)C(=O)C[C@H]1O,False,spectrum
11a-ACETOXYPROGESTERONE,inactive,1.0,CC(=O)O[C@@H]1C[C@@]2(C)C(CC[C@@H]2C(C)=O)C2CCC3=CC(=O)CC[C@]3(C)C21,False,spectrum
12-METHOXY-4.4-BISNOR-5beta-8.11.13-PODOCARPATRIEN-3-OL,inactive,1.0,COc1cc2c(cc1)CC[C@@H]1C[C@H](O)CC[C@]21C,False,spectrum
12-hydroxy-4.4-bisnor-4.8.11.13-podocarpatetraen-3-one,inactive,1.0,C[C@]12CCC(=O)C=C1CCc1c2cc(O)cc1,False,spectrum
12a-HYDROXY-9-DEMETHYLMUNDUSERONE-8-CARBOXYLIC ACID,inactive,1.0,COc1cc2c(cc1OC)C1(O)C(=O)c3ccc(O)c(C(=O)O)c3OC1CO2,False,spectrum
13-methyl-4.4-bisnor-8.11.13-podocarpatrien-3-one,inactive,1.0,Cc1cc2c(cc1)[C@@]1(C)CCC(=O)C[C@@H]1CC2,False,spectrum
18alpha-GLYCYRRHETINIC ACID,inactive,1.0,CC1(C)C2CC[C@]3(C)C(C(=O)C=C4[C@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@]43C)[C@@]2(C)CC[C@@H]1O,False,spectrum
1r.2s-phenylpropylamine,inactive,1.0,C[C@H](N)[C@H](O)c1ccccc1,False,spectrum
1s.2r-phenylpropanolamine hydrochloride,inactive,1.0,C[C@@H](N)[C@@H](O)c1ccccc1,False,spectrum
2'-methoxyformonetin,inactive,1.0,COc1cc(OC)c(-c2coc3cc(O)ccc3c2=O)cc1,False,spectrum
2'.2'-bisepigallocatechin digallate,inactive,1.0,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c(O)c(O)c(O)cc1[C@H]1Oc2cc(O)cc(O)c2C[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,False,spectrum
2'.3-dihydroxy-4.4'.6'-trimethoxychalcone,inactive,1.0,COc1cc(O)c(C(=O)/C=C/c2ccc(OC)c(O)c2)c(OC)c1,False,spectrum
2'.4'-dihydroxy-4-methoxychalcone,inactive,1.0,COc1ccc(/C=C/C(=O)c2c(O)cc(O)cc2)cc1,False,spectrum
2'.4'-dihydroxychalcone,inactive,1.0,O=C(/C=C/c1ccccc1)c1c(O)cc(O)cc1,False,spectrum
2'.4'-dihydroxychalcone 4'-glucoside,inactive,1.0,O=C(/C=C/c1ccccc1)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O,False,spectrum
