"batch.code","well.name","plate.layout.info.Type","plate.layout.info.Stimulant","plate.layout.info.Stimulant dose","plate.layout.info.Stimulant unit","plate.layout.info.Stimulation solvent","plate.layout.info.Treatment","plate.layout.info.Treatment concentration","plate.layout.info.Treatment unit","plate.layout.info.Treatment solvent","plate.layout.info.Treatment 2","plate.layout.info.Treatment 2 concentration","plate.layout.info.Treatment 2 unit","plate.layout.info.Treatment 2 solvent","ID","obj.Mean(area).um2.meas","obj.Mean(area).meas.npi_plate","Fraction_dead_cells","increase_death_cells_pct","obj.count_corrected.meas"
"4042","C03","ref_ctrl","FSK",2.5,"uM","0.1pctDMSO","rapamycin",0.03,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",2173.914,37.28131927222846,0.199,-0.9500000000000008,865
"4042","C04","ref_ctrl","FSK",2.5,"uM","0.1pctDMSO","rapamycin",0.03,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",2178.681,37.59646093128022,0.187,-2.150000000000002,804
"4042","C05","treatment","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2517.547,59.99173798969078,0.166,-4.250000000000001,803
"4042","C06","treatment","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2489.521,58.13993213473179,0.176,-3.2500000000000027,843
"4042","C07","treatment","FSK",2.5,"uM","0.1pctDMSO","Finerenone",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3203.927,105.35470649164802,0.174,-3.450000000000003,789
"4042","C08","treatment","FSK",2.5,"uM","0.1pctDMSO","Finerenone",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3283.632,110.62217382380743,0.163,-4.550000000000002,740
"4042","C09","treatment","FSK",2.5,"uM","0.1pctDMSO","Finerenone",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2365.005,49.91069098033371,0.166,-4.250000000000001,803
"4042","C10","treatment","FSK",2.5,"uM","0.1pctDMSO","Finerenone",1,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2468.969,56.78105803408603,0.169,-3.9500000000000006,799
"4042","C11","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3044.001,94.78491102433676,0.194,-1.4500000000000013,823
"4042","C12","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3051.902,95.3071258531637,0.19,-1.8500000000000016,776
