experiment,batch,plate_id,well.name,treatment_type,Stimulant,Stimulant dose,Stimulant unit,Treatment,Treatment concentration,Treatment unit,Treatment 2,Treatment 2 concentration,Treatment 2 unit,obj.Mean(area).um2.meas,dmso_median_raw,fsk_2_5uM_median_raw,normalized_cyst_swelling_pct
compound_exploration,4042,1,C03,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2173.914,1631.0785,3117.0,36.53190966009982
compound_exploration,4042,1,C04,ref_ctrl,FSK,2.5,uM,rapamycin,0.03,uM,DMSO,0.1,pct,2178.681,1631.0785,3117.0,36.85272068544671
compound_exploration,4042,1,C05,treatment,FSK,2.5,uM,DMSO,0.1,pct,Aldosterone,1.0,uM,2517.547,1631.0785,3117.0,59.65782849228576
compound_exploration,4042,1,C06,treatment,FSK,2.5,uM,DMSO,0.1,pct,Aldosterone,1.0,uM,2489.521,1631.0785,3117.0,57.771726164538315
compound_exploration,4042,1,C07,treatment,FSK,2.5,uM,Finerenone,1.0,uM,DMSO,0.1,pct,3203.927,1631.0785,3117.0,105.85003985742182
compound_exploration,4042,1,C08,treatment,FSK,2.5,uM,Finerenone,1.0,uM,DMSO,0.1,pct,3283.632,1631.0785,3117.0,111.21405134793461
compound_exploration,4042,1,C09,treatment,FSK,2.5,uM,Finerenone,1.0,uM,Aldosterone,1.0,uM,2365.005,1631.0785,3117.0,49.39201027779732
compound_exploration,4042,1,C10,treatment,FSK,2.5,uM,Finerenone,1.0,uM,Aldosterone,1.0,uM,2468.969,1631.0785,3117.0,56.38861137684596
compound_exploration,4042,1,C11,treatment,FSK,2.5,uM,Esaxerenone,1.0,uM,DMSO,0.1,pct,3044.001,1631.0785,3117.0,95.08729095043043
compound_exploration,4042,1,C12,treatment,FSK,2.5,uM,Esaxerenone,1.0,uM,DMSO,0.1,pct,3051.902,1631.0785,3117.0,95.61901486720531
compound_exploration,4042,1,C13,treatment,FSK,2.5,uM,Esaxerenone,1.0,uM,Aldosterone,1.0,uM,2475.68,1631.0785,3117.0,56.84025030931983
compound_exploration,4042,1,C14,treatment,FSK,2.5,uM,Esaxerenone,1.0,uM,Aldosterone,1.0,uM,2372.025,1631.0785,3117.0,49.86444438686701
compound_exploration,4042,1,C15,treatment,FSK,2.5,uM,Apararenone,1.0,uM,DMSO,0.1,pct,3187.891,1631.0785,3117.0,104.7708442202364
compound_exploration,4042,1,C16,treatment,FSK,2.5,uM,Apararenone,1.0,uM,DMSO,0.1,pct,3124.846,1631.0785,3117.0,100.52802250993744
compound_exploration,4042,1,C17,treatment,FSK,2.5,uM,Apararenone,1.0,uM,Aldosterone,1.0,uM,2597.528,1631.0785,3117.0,65.04041431529187
compound_exploration,4042,1,C18,treatment,FSK,2.5,uM,Apararenone,1.0,uM,Aldosterone,1.0,uM,2371.995,1631.0785,3117.0,49.86242543768294
compound_exploration,4042,1,C19,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1497.764,1631.0785,3117.0,-8.971840033272295
compound_exploration,4042,1,C20,solvent_ctrl,DMSO,0.1,pct,DMSO,0.1,pct,DMSO,0.1,pct,1584.8,1631.0785,3117.0,-3.1144646604817363
