Compound,Activity,SMILES,Screening,std_smiles,inchi,inchikeys,connectivity,papyrus_smiles,Targets_6.0,Targets_6.5,Targets_7.0,Targets_7.5,Targets_8.0,Targets_8.5,Targets_9.0,bioactivity
Quercetin 5.7.3'.4'-tetramethyl ether,inactive,COc1cc2c(c(OC)c1)c(=O)c(O)c(-c1cc(OC)c(OC)cc1)o2,spectrum,COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1,"InChI=1S/C19H18O7/c1-22-11-8-14(25-4)16-15(9-11)26-19(18(21)17(16)20)10-5-6-12(23-2)13(7-10)24-3/h5-9,21H,1-4H3",AAASNKNLMQBKFV-UHFFFAOYSA-N,AAASNKNLMQBKFV,COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1,,,,,,,,inactive
Eticlopride hydrochloride,inactive,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,spectrum,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,"InChI=1S/C17H25ClN2O3/c1-4-11-9-13(18)16(23-3)14(15(11)21)17(22)19-10-12-7-6-8-20(12)5-2/h9,12,21H,4-8,10H2,1-3H3,(H,19,22)",AADCDMQTJNYOSS-UHFFFAOYSA-N,AADCDMQTJNYOSS,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,P10635_WT;P14416_WT;P21917_WT;P35462_WT;P61169_WT,P10635_WT;P14416_WT;P21917_WT;P35462_WT;P61169_WT,P10635_WT;P14416_WT;P21917_WT;P35462_WT;P61169_WT,P14416_WT;P35462_WT;P61169_WT,P14416_WT;P35462_WT;P61169_WT,P14416_WT;P35462_WT;P61169_WT,P14416_WT;P35462_WT;P61169_WT,inactive
Yohimbic acid hydrate,inactive,O=C(O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,spectrum,O=C(O)C1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,"InChI=1S/C20H24N2O3/c23-17-6-5-11-10-22-8-7-13-12-3-1-2-4-15(12)21-19(13)16(22)9-14(11)18(17)20(24)25/h1-4,11,14,16-18,21,23H,5-10H2,(H,24,25)/t11-,14-,16-,17-,18?/m0/s1",AADVZSXPNRLYLV-IQCVEUMDSA-N,AADVZSXPNRLYLV,O=C(O)C1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,P04150_WT;P18825_WT;Q9NUW8_WT,P04150_WT;P18825_WT;Q9NUW8_WT,P18825_WT;Q9NUW8_WT,P18825_WT;Q9NUW8_WT,Q9NUW8_WT,,,inactive
Erlotinib HCl,inactive,C1(=CC=CC(=C1)C#C)NC2(=NC=NC3=C2C=C(C(=C3)OCCOC)OCCOC).Cl,selleckchem,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,"InChI=1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)",AAKJLRGGTJKAMG-UHFFFAOYSA-N,AAKJLRGGTJKAMG,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,O14976_WT;O15357_WT;O43683_WT;O94804_WT;P00533_WT;P28028_WT,O43683_WT;P00533_WT;P28028_WT,P00533_WT;P28028_WT,P00533_WT,,,,inactive
Ag-1024,inactive,CC(C)(C)c1c(O)c(Br)cc(C=C(C#N)C#N)c1,selleckchem,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,"InChI=1S/C14H13BrN2O/c1-14(2,3)11-5-9(4-10(7-16)8-17)6-12(15)13(11)18/h4-6,18H,1-3H3",ABBADGFSRBWENF-UHFFFAOYSA-N,ABBADGFSRBWENF,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,P08069_WT;Q9NZ45_WT,P08069_WT,P08069_WT,,,,,inactive
Kuhlmannin,inactive,COc1c(O)cc2c(-c3ccccc3)cc(=O)oc2c1OC,spectrum,COc1c(O)cc2c(-c3ccccc3)cc(=O)oc2c1OC,"InChI=1S/C17H14O5/c1-20-16-13(18)8-12-11(10-6-4-3-5-7-10)9-14(19)22-15(12)17(16)21-2/h3-9,18H,1-2H3",ABUBCBFUQXIEAU-UHFFFAOYSA-N,ABUBCBFUQXIEAU,COc1c(O)cc2c(-c3ccccc3)cc(=O)oc2c1OC,,,,,,,,inactive
Hexachlorophene,inactive,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(Cl)c(Cl)cc(Cl)c1O,spectrum,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,"InChI=1S/C13H6Cl6O2/c14-6-2-8(16)12(20)4(10(6)18)1-5-11(19)7(15)3-9(17)13(5)21/h2-3,20-21H,1H2",ACGUYXCXAPNIKK-UHFFFAOYSA-N,ACGUYXCXAPNIKK,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,P0DMS8_WT;P00533_WT;P07900_WT;P28482_WT;P35354_WT;Q16539_WT;Q92731_WT,P28482_WT;Q16539_WT;Q92731_WT,Q16539_WT;Q92731_WT,,,,,inactive
Valsartan,enhancer,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2n[nH]nn2)cc1)[C@H](C(=O)O)C(C)C,spectrum,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,"InChI=1S/C24H29N5O3/c1-4-5-10-21(30)29(22(16(2)3)24(31)32)15-17-11-13-18(14-12-17)19-8-6-7-9-20(19)23-25-27-28-26-23/h6-9,11-14,16,22H,4-5,10,15H2,1-3H3,(H,31,32)(H,25,26,27,28)",ACWBQPMHZXGDFX-UHFFFAOYSA-N,ACWBQPMHZXGDFX,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,P03372_WT;P25095_WT;P29089_WT;P30556_WT,P25095_WT;P29089_WT;P30556_WT,P25095_WT;P29089_WT;P30556_WT,P25095_WT;P29089_WT;P30556_WT,P25095_WT;P29089_WT;P30556_WT,P29089_WT;P30556_WT,,enhancer
Donepezil hydrochloride,inactive,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,spectrum,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,"InChI=1S/C24H29NO3/c1-27-22-14-19-13-20(24(26)21(19)15-23(22)28-2)12-17-8-10-25(11-9-17)16-18-6-4-3-5-7-18/h3-7,14-15,17,20H,8-13,16H2,1-2H3",ADEBPBSSDYVVLD-UHFFFAOYSA-N,ADEBPBSSDYVVLD,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,P21836_WT;P22303_WT;P32738_WT;P37136_WT;P56817_WT;Q9Y5N1_WT;Q99720_WT,P21836_WT;P22303_WT;P32738_WT;P37136_WT;P56817_WT;Q99720_WT,P22303_WT;P32738_WT;P37136_WT;Q99720_WT,P22303_WT;P32738_WT;P37136_WT;Q99720_WT,P32738_WT,,,inactive
2'.4'-dihydroxy-4-methoxychalcone,inactive,COc1ccc(/C=C/C(=O)c2c(O)cc(O)cc2)cc1,spectrum,COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,"InChI=1S/C16H14O4/c1-20-13-6-2-11(3-7-13)4-9-15(18)14-8-5-12(17)10-16(14)19/h2-10,17,19H,1H3/b9-4+",ADRQFDIWPRFKSP-RUDMXATFSA-N,ADRQFDIWPRFKSP,COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1,P07943_WT;P51450_WT,P51450_WT,P51450_WT,,,,,inactive
