structure;CatalogID;Formula;LOGS;LOGP;Rotating_bonds;HB_acceptors;HB_donors;Purity;Stock_mg
CCn1c(nc2ccccc12)c3ccccc3;"Z57114977";"C15H14N2";"-3.811";"4.208";"2.0";"1.0";"0.0";"98.0";"109"
O=C(Nc1nc(cs1)c2ccccc2)c3ccco3;"Z27772078";"C14H10N2O2S";"-4.853";"3.16";"3.0";"2.0";"1.0";"95.0";"498"
OCCNc1nc(nc2ccccc12)c3cccs3;"Z31212249";"C14H13N3OS";"-4.048";"3.124";"4.0";"4.0";"2.0";"100.0";"25"
CC(=O)c1sc(NC(=O)c2ccco2)nc1c3ccccc3;"Z29273108";"C16H12N2O3S";"-5.443";"2.993";"4.0";"3.0";"1.0";"100.0";"733"
CC(C)NC(=O)NC(c1cccs1)c2cccs2;"Z1241744040";"C13H16N2OS2";"-3.808";"2.698";"4.0";"1.0";"2.0";"100.0";"106"
O=C(Nc1nc(c(o1)c2ccccc2)c3ccccc3)c4cnccn4;"Z1476769298";"C20H14N4O2";"-5.081";"2.999";"4.0";"4.0";"1.0";"90.0";"134"
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCc4cccs4)ncnc23;"Z1980904082";"C15H17N5O4S";"-2.664";"-0.233";"5.0";"8.0";"4.0";"95.0";"46"
Cc1ccccc1C(=O)Nc2nc(c(s2)c3ccncc3)c4cccnc4;"Z4995167527";"C21H16N4OS";"-5.7";"2.829";"4.0";"4.0";"1.0";;"0"
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCc4ccncc4)ncnc23;"Z1980897386";"C16H18N6O4";"-1.811";"-1.376";"5.0";"9.0";"4.0";"100.0";"53"
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(ncnc23)N4CCc5cnccc45;"Z2091580551";"C17H18N6O4";"-2.08";"-0.718";"3.0";"9.0";"3.0";"100.0";"33"
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCCc4cccnc4)ncnc23;"Z1980928045";"C17H20N6O4";"-1.571";"-0.727";"6.0";"9.0";"4.0";"97.0";"38"
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCCc4ccccc4)ncnc23;"Z1980896053";"C18H21N5O4";"-2.712";"0.77";"6.0";"8.0";"4.0";"100.0";"71"
Cc1nc(nn1c2ccccc2)C(=O)NCc3cccc(Br)c3;"Z1167143537";"C17H15BrN4O";;"4.02";"4.0";"3.0";"1.0";"96.0";"72"
