MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,PRICE_CODE,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID
312.37,C21H16N2O,312.37,Oc1ccc(cc1)-c1nc(c([nH]1)-c1ccccc1)-c1ccccc1,ChemDiv SC,5218,,,"4-(4,5-diphenyl-1H-imidazol-2-yl)phenol",MFCD00740542,530515
265.33,C15H11N3S,265.33,S=c1nc(-c2ccccc2)c(n[nH]1)-c1ccccc1,ChemDiv SC,2595,,,"5,6-diphenyl-1,2,4-triazine-3(2H)-thione",MFCD00431852,630953
366.43,C18H11FN4S2,366.43,Nc1nc(SCc2ccc(F)cc2)c(C#N)c(-c2cccs2)c1C#N,ChemDiv SC,8003,,,"2-amino-6-{[(4-fluorophenyl)methyl]sulfanyl}-4-(thiophen-2-yl)pyridine-3,5-dicarbonitrile",,824745
277.33,C17H15N3O,277.33,COc1ccc(cc1)-c1cc(nc(N)n1)-c1ccccc1,ChemDiv SC,0,,,4-(4-methoxyphenyl)-6-phenylpyrimidin-2-amine,MFCD00725984,1127982
321.42,C24H19N,321.42,Cc1c(cc(nc1-c1ccccc1)-c1ccccc1)-c1ccccc1,ChemDiv SC,8007,,,"3-methyl-2,4,6-triphenylpyridine",MFCD00114732,1163787
260.3,C16H12N4,260.3,Cc1nnc2c(nc3ccccc3n12)-c1ccccc1,ChemDiv SC,8010,,,"1-methyl-4-phenyl[1,2,4]triazolo[4,3-a]quinoxaline",,1237561
222.29,C15H14N2,222.29,CCn1c(nc2ccccc12)-c1ccccc1,ChemDiv SC,0,,,1-ethyl-2-phenyl-1H-benzimidazole,MFCD00435973,1249141
380.5,C21H17FN2S2,380.5,Fc1ccc(CSc2nc3CCCCc3c(-c3cccs3)c2C#N)cc1,ChemDiv SC,8003,,,"2-{[(4-fluorophenyl)methyl]sulfanyl}-4-(thiophen-2-yl)-5,6,7,8-tetrahydroquinoline-3-carbonitrile",,1308375
344.39,C22H17FN2O,344.39,COc1ccc(cc1)-c1nc(c([nH]1)-c1ccc(F)cc1)-c1ccccc1,ChemDiv SC,3197,,,5-(4-fluorophenyl)-2-(4-methoxyphenyl)-4-phenyl-1H-imidazole,,1310933
448.97,C24H21ClN4OS,448.97,CCCCOc1ccc(cc1)-c1c(C#N)c(N)nc(SCc2ccc(Cl)cc2)c1C#N,ChemDiv SC,892,,,"2-amino-4-(4-butoxyphenyl)-6-{[(4-chlorophenyl)methyl]sulfanyl}pyridine-3,5-dicarbonitrile",,1326172
339.41,C18H17N3O2S,339.41,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccs1,ChemDiv SC,7695,,,"ethyl 2-methyl-4-(thiophen-2-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1510726
319.36,C19H17N3O2,319.36,COC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccccc1,ChemDiv SC,8561,,,"methyl 2-methyl-4-phenyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1511040
333.39,C20H19N3O2,333.39,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccccc1,ChemDiv SC,0,,,"ethyl 2-methyl-4-phenyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1511042
349.39,C20H19N3O3,349.39,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccc(O)c1,ChemDiv SC,7695,,,"ethyl 4-(3-hydroxyphenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1528390
320.35,C18H16N4O2,320.35,COC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccncc1,ChemDiv SC,8137,,,"methyl 2-methyl-4-(pyridin-4-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1554183
325.39,C17H15N3O2S,325.39,COC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccs1,ChemDiv SC,8137,,,"methyl 2-methyl-4-(thiophen-2-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1554185
342.4,C22H18N2O2,342.4,COc1ccc(cc1O)-c1nc(c([nH]1)-c1ccccc1)-c1ccccc1,ChemDiv SC,3328,,,"5-(4,5-diphenyl-1H-imidazol-2-yl)-2-methoxyphenol",,1681642
334.42,C21H22N2O2,334.42,CCC(CC)C(=O)Nc1nc(c(o1)-c1ccccc1)-c1ccccc1,ChemDiv SC,0,,,"N-(4,5-diphenyl-1,3-oxazol-2-yl)-2-ethylbutanamide",,1823372
323.35,C18H17N3O3,323.35,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccco1,ChemDiv SC,7695,,,"ethyl 4-(furan-2-yl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1828790
