MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,PRICE_CODE,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID
186.23,C7H10N2O2S,186.23,CS(=O)(=O)Nc1cccc(N)c1,,0,,,,MFCD03094037,519871
381.25,C18H18Cl2N2O3,381.25,CCCC1=C(C(C(C#N)=C(N)O1)c1ccc(Cl)cc1Cl)C(=O)OCC,,0,,,,MFCD00811389,567964
221.27,C11H11NO2S,221.27,CS(=O)(=O)Nc1cccc2ccccc12,,0,,,,MFCD00447811,596332
370.23,C17H17Cl2NO4,370.23,COC(=O)C1=C(C)NC(C)=C(C1c1ccc(Cl)cc1Cl)C(=O)OC,,0,,,,MFCD00387791,627919
361.27,C19H18Cl2N2O,361.27,,,0,,,,,627929
361.27,C19H18Cl2N2O,361.27,,,0,,,,,627929
361.27,C19H18Cl2N2O,361.27,CC1=C(C#N)C(C2=C(CC(C)(C)CC2=O)N1)c1ccc(Cl)cc1Cl,,0,,,,MFCD00816371,627929
394.29,C20H21Cl2NO3,394.29,COC(=O)C1=C(C)NC2=C(C1c1ccc(Cl)cc1Cl)C(=O)CC(C)(C)C2,,0,,,,MFCD00368210,628139
361.27,C19H18Cl2N2O,361.27,CC1=C(C#N)C(C2=C(CC(C)(C)CC2=O)N1)c1cccc(Cl)c1Cl,,0,,,,MFCD01825115,659905
334.74,C13H10ClF3N2OS,334.74,FC(F)(F)c1cccc(Cc2cnc(NC(=O)CCl)s2)c1,,0,,,,MFCD01563471,663121
330.36,C18H19FN2O3,330.36,CCCC1=C(C(C(C#N)=C(N)O1)c1cccc(F)c1)C(=O)OCC,,0,,,,MFCD00811448,825054
284.31,C16H16N2O3,284.31,COC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccccc1C,,0,,,,MFCD00731037,1104090
302.31,C16H15FN2O3,302.31,CCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccc(F)cc1,,0,,,,MFCD00486665,1107255
407.72,C20H17Cl3N2O,407.72,Cc1ccccc1C(=O)NC(Nc1cccc2ccccc12)C(Cl)(Cl)Cl,,0,,,,,1108686
380.27,C19H19Cl2NO3,380.27,CCOC(=O)C1=C(C)NC2=C(C1c1ccc(Cl)cc1Cl)C(=O)CCC2,,0,,,,MFCD00619462,1207187
394.29,C20H21Cl2NO3,394.29,,,0,,,,,1207271
394.29,C20H21Cl2NO3,394.29,CC(C)OC(=O)C1=C(C)NC2=C(C1c1ccc(Cl)cc1Cl)C(=O)CCC2,,0,,,,,1207271
383.49,C23H29NO4,383.49,CCCCOc1ccccc1C1C(C(=O)OCC)=C(C)NC2=C1C(=O)CCC2,,0,,,,,1215904
353.2,C16H14Cl2N2O3,353.2,CCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccc(Cl)cc1Cl,,0,,,,MFCD00486667,1235110
