QSPRID,qrySmiles,hitSmiles,anonIdx,mw,id,qry_molecule_chembl_id,target_id,provider,QSPRID,predictions,nn_max,nn_min,nn_mean,nn_sum,n_chiral_centers,logP,lipinski_violations,nn_index,nn_smiles,tsne1,tsne2
VS_set_ADORA1_00002,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Cc1cccc(c1)c2cc(nc(n2)N)c3cccc(c3)F,B23R3.7796231,279.312,37034318,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00002,7.030949,0.22392638036809817,0.19148936170212766,0.2131536058316227,2.131536058316227,0,3.840320000000002,0,2998,Cc1cccc(-c2cnc(N)nc2-c2ccccc2)c1,13.190499,-25.969791
VS_set_ADORA1_00005,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Cc1cccc(c1)c2cc(nc(n2)N)c3cccc(c3)Br,B23R3.7796231,340.217,37034094,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00005,7.172969,0.2339622641509434,0.19939271255060728,0.22109643066731746,2.2109643066731746,0,4.463720000000001,0,2998,Cc1cccc(-c2cnc(N)nc2-c2ccccc2)c1,12.228826,-26.662825
VS_set_ADORA1_00009,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Oc1nnc(c(n1)c2ccccc2)c3ccccc3,B21R3.236,249.268,300022029,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00009,7.1260357,0.30373360242179614,0.20024271844660194,0.26725326315488385,2.6725326315488385,0,2.911200000000001,0,2222,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,-7.832184,-28.82349
VS_set_ADORA1_00010,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Sc1nnc(c(n1)c2ccccc2)c3ccccc3,B21R3.236,265.335,1062706,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00010,7.276408,0.3051020408163265,0.20963855421686747,0.27876041460556,2.7876041460556,0,3.4943000000000017,0,2222,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,-7.7561193,-28.256205
VS_set_ADORA1_00015,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Cc1cccc(c1)c2cc(nc(n2)N)c3cccc(c3)C,B23R3.7796231,275.348,37034320,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00015,7.088913,0.23839662447257384,0.1853813559322034,0.2135746380880939,2.135746380880939,0,4.009640000000002,0,2998,Cc1cccc(-c2cnc(N)nc2-c2ccccc2)c1,12.6056795,-26.257666
VS_set_ADORA1_00016,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Nc1nc(cc(n1)c2cccc(c2)Br)c3cccc(c3)F,B23R3.7796231,344.181,37034090,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00016,7.1797695,0.2583412774070543,0.22054054054054054,0.2459866873007072,2.459866873007072,0,4.294400000000001,0,3715,N#Cc1c(-c2ccccc2)nc(N)nc1-c1cccc(F)c1,11.6948595,-28.545126
VS_set_ADORA1_00025,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,N=c1nc(c(n[nH]1)c2ccccc2)c3ccccc3,B21R3.236,248.283,4493669,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00025,7.3103375,0.2819794584500467,0.23356009070294784,0.26286287681861564,2.6286287681861564,0,2.618170000000001,0,2222,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,-9.251274,-29.0532
VS_set_ADORA1_00026,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,O=c1nc(c(n[nH]1)c2ccccc2)c3ccccc3,B21R3.236,249.268,1002539,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00026,7.0198116,0.2981427174975562,0.22637106184364061,0.26724035511468974,2.6724035511468975,0,2.498900000000001,0,2222,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,-9.047074,-29.130384
VS_set_ADORA1_00028,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,S=c1nc(c(n[nH]1)c2ccccc2)c3ccccc3,B21R3.236,265.335,630953,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00028,7.0125713,0.286144578313253,0.22273781902552203,0.25972098801805377,2.5972098801805377,0,3.868190000000002,0,2222,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1,-9.011334,-29.232204
VS_set_ADORA1_00034,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Nc1nc(cc(n1)c2cccc(c2)Br)c3cccc(c3)Br,B23R3.7796231,405.086,37034106,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00034,7.4557967,0.2724324324324324,0.15243101182654403,0.24667465988226045,2.4667465988226045,0,4.9178000000000015,0,1137,Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,11.022899,-28.050947
VS_set_ADORA1_00035,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Nc1nc(cc(n1)c2cccc(c2)Br)c3cccc(c3)Cl,B23R3.7796231,360.636,37033558,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00035,7.110324,0.2487852283770651,0.20719738276990185,0.23307566760501036,2.3307566760501035,0,4.808700000000002,0,3689,N#Cc1c(-c2cccc(Cl)c2)nc(N)nc1-c1cccc(Cl)c1,10.195604,-27.659214
VS_set_ADORA1_00036,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Nc1nc(cc(n1)c2cccc(c2)Cl)c3cccc(c3)Cl,B23R3.7796231,316.185,37033536,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00036,7.1378145,0.2434584755403868,0.15019762845849802,0.21067886818236917,2.1067886818236916,0,4.699600000000002,0,1137,Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1,9.320274,-28.23747
VS_set_ADORA1_00038,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Nc1nc(c([nH]c1=O)c2cccc(c2)F)c3cccc(c3)F,B24R3.17907504,299.275,252410060,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00038,7.0892816,0.22321428571428573,0.21723518850987433,0.22109797912850335,2.2109797912850335,0,2.9643000000000015,0,1100,CN1C(=O)C2Nc3cnccc3C2N(C)C1=O,-13.736528,-0.22973098
VS_set_ADORA1_00041,Cc1cc(-c2nnc(N)nc2-c2cc(F)cc(F)c2)cc(C)n1,Clc1cc(c(nn1)c2ccccc2)c3ccccc3,B21R3.236,266.725,260931451,CHEMBL2024117,ADORA1,emolecules,VS_set_ADORA1_00041,7.1293116,0.33811475409836067,0.3244397011739594,0.3327024861590589,3.327024861590589,0,4.464000000000003,0,2224,Nc1nnc(-c2cc(Cl)cc(Cl)c2)c(-c2ccccc2)n1,-22.115599,-18.358286
