QSPRID,qrySmiles,hitSmiles,anonIdx,mw,id,qry_molecule_chembl_id,target_id,provider,QSPRID,predictions,nn_max,nn_min,nn_mean,nn_sum,n_chiral_centers,logP,lipinski_violations,nn_index,nn_smiles,tsne1,tsne2
VS_set_NR3C2_00081,CCC(C)n1cc(-c2ccc(C#N)cc2)c2ccc(NS(C)(=O)=O)cc21,CCOc1cc(nc2c1cc(cc2)NC(=O)C)c3ccc(cc3)F,B26R3.157481340,324.35,32717876,CHEMBL1672549;CHEMBL1672548;CHEMBL1672548,NR3C2,emolecules,VS_set_NR3C2_00081,7.1025705,0.14986853637160386,0.1372719374456994,0.14727737052869355,1.4727737052869356,0,4.398000000000002,0,531,CC(=O)Nc1ccc2[nH]c(C3(Cc4ccccc4)OC(=O)N(C(C)c4ccc(F)cc4)C3=O)nc2c1,8.085034,127.07714
VS_set_NR3C2_00144,O=C1COc2ccc(N3CCOCC3c3ccccc3)cc2N1,CC(=O)Nc1cccc(c1)CN2CCNCC2c3cccc(c3)Cl,B26R3.2696126,343.851,302737365,CHEMBL4062345;CHEMBL4062345,NR3C2,emolecules,VS_set_NR3C2_00144,7.1433287,0.11304347826086956,0.0986784140969163,0.10832895078775166,1.0832895078775167,1,3.4449000000000023,0,107,O=c1[nH]c(N2CCC(c3ccccc3)CC2)c(Cc2cccc(Cl)c2)c(=O)[nH]1,95.794044,-94.59329
VS_set_NR3C2_00146,O=C1COc2ccc(N3CCOCC3c3ccccc3)cc2N1,CC(=O)Nc1cccc(c1)CN2CCNCC2c3ccccc3Cl,B26R3.2741530,343.851,302721678,CHEMBL4062345;CHEMBL4062345,NR3C2,emolecules,VS_set_NR3C2_00146,7.3705487,0.10782608695652174,0.10184372256365233,0.10492616411614368,1.0492616411614368,1,3.4449000000000023,0,107,O=c1[nH]c(N2CCC(c3ccccc3)CC2)c(Cc2cccc(Cl)c2)c(=O)[nH]1,85.499565,-87.5442
VS_set_NR3C2_00179,COc1ccc(C(c2ccccc2)c3c[nH]c4ccccc34)cc1,COc1ccc(cc1)C(NC(=S)Nc2ccccc2)c3ccccc3,B27R3.41228,348.463,2156226,CHEMBL1672540,NR3C2,emolecules,VS_set_NR3C2_00179,7.1274166,0.18854625550660792,0.17699910152740342,0.1848062113555538,1.848062113555538,1,4.771200000000003,0,685,COC(=O)C(c1ccc(OC)cc1)n1ccc2c(NS(C)(=O)=O)cccc21,-318.90488,173.96916
VS_set_NR3C2_00389,Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NC1CCCCC31,Cn1c(nc2c1ccc(c2)NC(=O)CCC(F)(F)F)C3CC3,B24R3.34587960,311.303,48294548,CHEMBL163425,NR3C2,emolecules,VS_set_NR3C2_00389,7.026646,0.1345646437994723,0.1274165202108963,0.13223462369865366,1.3223462369865366,0,3.7317000000000027,0,50,Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NC1CCCCC31,-10.675725,-53.37334
VS_set_NR3C2_00392,Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)NC1CCCCC31,CCc1cc(=O)oc2c1cc3c(c2C)oc4c3CCCC4,B24R4.56930390,282.334,4802497,CHEMBL163425,NR3C2,emolecules,VS_set_NR3C2_00392,7.0771174,0.12554872695346794,0.12102473498233215,0.12310588509611345,1.2310588509611344,0,4.288820000000003,0,22,CCC1CNc2cc3oc(=O)cc(C(F)(F)F)c3cc2C1CC,5.3625054,82.9326
VS_set_NR3C2_00473,CNS(=O)(=O)c1ccc(C(C)(C)c2ccccc2)cc1,CC(Nc1ccccc1C)c2ccc(cc2)S(=O)(=O)C,B21R2.105285,289.394,317973061,CHEMBL5182687,NR3C2,emolecules,VS_set_NR3C2_00473,7.0057454,0.13871817383669885,0.1317418213969938,0.13521350852891412,1.3521350852891412,1,3.571620000000002,0,617,Cc1c(C(=O)Nc2ccc(S(C)(=O)=O)cc2)cc(C(C)C(C)O)n1-c1ccc(F)cc1C(F)(F)F,-191.52396,24.690905
VS_set_NR3C2_00499,CNS(=O)(=O)c1ccc(C(C)(C)c2ccccc2)cc1,Cn1c2ccccc2c3c1ccc(c3)S(=O)(=O)N,B20R3.3428503,260.313,75509390,CHEMBL5182687,NR3C2,emolecules,VS_set_NR3C2_00499,7.333583,0.29017857142857145,0.2825112107623318,0.28792301580267543,2.879230158026754,0,1.9788999999999997,0,430,Cc1cc(C)c(S(=O)(=O)NC(Cn2cc(C#N)c3ccccc32)C(F)(F)F)c(C)c1,3.9644485,219.68825
VS_set_NR3C2_00598,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)C)C1c1ccc(Cl)cc1,COC(=O)C1=C(NC(=C(C1c2ccc(cc2Cl)Cl)C(=O)OC)C)C,B25R2.621492967,370.228,627919,CHEMBL1215259,NR3C2,emolecules,VS_set_NR3C2_00598,7.176592,0.07792207792207792,0.04878048780487805,0.06313828065356605,0.6313828065356606,0,3.574200000000002,0,182,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)C)C1c1ccc(F)cc1Cl,186.03471,39.1367
VS_set_NR3C2_00600,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)C)C1c1ccc(Cl)cc1,CCOC(=O)C1=C(NC(=C(C1c2ccc(cc2Cl)Cl)C(=O)OCC)C)C,B27R2.683076382,398.281,627911,CHEMBL1215259,NR3C2,emolecules,VS_set_NR3C2_00600,7.4486847,0.081374321880651,0.060240963855421686,0.07320016947872643,0.7320016947872643,0,4.354400000000004,0,182,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)C)C1c1ccc(F)cc1Cl,175.63815,45.392117
